ID,Topic,Source,Year,Source Type,Tier,What It Establishes,What It Does Not Establish,2099 Canon Use,Faction,URL
BV-06,Project Blue Book,"Project Sign, Grudge, and Blue Book archives",1948-1969,Official investigation records,B,The Air Force investigated thousands of reports under successive projects.,That unresolved cases prove aliens or every case was adequately handled.,Legacy classification codes and institutional amnesia.,Humans,https://www.theblackvault.com/documentarchive/project-blue-book/
BV-07,AAWSAP / DIRDs,DIA Defense Intelligence Reference Documents,2009-2012; later releases,Official commissioned speculative studies,B,"Government-sponsored papers examined warp metrics, wormholes, metamaterials, programmable matter, and related topics.",That the technologies worked or came from UAP.,Technical vocabulary for reverse engineering.,Humans / Machines,https://www.dia.mil/FOIA/FOIA-Electronic-Reading-Room/
BV-08,Tehran 1976,Government records on the Tehran intercept,1976,Military incident record,B,"A documented report includes visual, radar, attempted intercept, and reported equipment effects.",A definitive extraterrestrial explanation.,Electronic-warfare scenario with ambiguous operator.,Humans / Xenos,https://www.theblackvault.com/documentarchive/the-1976-iran-incident/
BV-09,Nuclear cases,Black Vault UFOs and Nukes collection,1960s onward,Military records and testimony,B,A contested record tradition links anomalous observations with strategic weapons sites.,Conclusive proof that UAP disabled weapons.,"Federation, Machine, Xeno, or human monitoring motives.",Humans / Federation / Machines,https://www.theblackvault.com/documentarchive/ufos-and-nukes/
BV-10,Remote-viewing Mars,"CIA Stargate session: Mars, approximately 1 million B.C.",1984,Authentic remote-viewing session record,B,A session using Mars coordinates was conducted and recorded.,That perceived beings or structures existed.,A noetic archive vulnerable to Machine-inserted imagery.,Humans / Machines,https://www.cia.gov/readingroom/document/cia-rdp96-00788r001900760001-9
BV-11,MJ-12,FBI Majestic 12 file,1980s-1990s,Government assessment of disputed document,B/E,The memo circulated and the FBI marked it bogus after review.,That no secret anomalous-material program ever existed.,A forged committee name over a differently named real program.,Humans,https://vault.fbi.gov/Majestic%2012
AST-01,Planet Nine,NASA: Hypothetical Planet X / Planet Nine,Current,Official science overview,A,Planet Nine remains hypothetical and has not been discovered.,A connection to Nibiru or an imminent collision.,Distant mass as gate anchor.,Machines / Xenos,https://science.nasa.gov/solar-system/planet-x/
AST-02,Nibiru terminology,ORACC Mesopotamian corpora,Ancient; modern scholarly editions,Primary ancient texts and scholarship,C,Ancient neberu is a crossing term with astronomical/theological contexts.,"Sitchin’s entire 3,600-year inhabited-planet scenario.","One word attached to gate, office, citadel, and planet over time.",Xenos,https://oracc.museum.upenn.edu/
AST-03,Apophis,NASA: Asteroid Apophis,Current; 2029 flyby,Official science overview,A,"Apophis will safely pass close to Earth on April 13, 2029.",An impact prophecy or artificial-object conclusion.,Close pass activates quarantine beacon.,Machines / Pirates,https://science.nasa.gov/solar-system/asteroids/apophis/
AST-04,Oumuamua,NASA: 1I/2017 U1 Oumuamua,2017 onward,Official science overview,A,First confirmed interstellar object; unusual shape/tumbling and small acceleration.,Proof of artificial origin.,"Recon shard, tagged natural object, or cover.",Machines / Pirates,https://science.nasa.gov/solar-system/comets/oumuamua/
AST-05,Oumuamua artificial hypothesis,"Bialy and Loeb, radiation-pressure paper",2018,Peer-reviewed speculative paper,A/D,A published lightsail hypothesis exists as one proposed explanation.,That the object was manufactured.,Scientific controversy exploited by intelligence factions.,Machines / Humans,https://arxiv.org/abs/1810.11490
AST-06,Oumuamua natural hypothesis,Bergner and Seligman trapped-hydrogen model,2023,Peer-reviewed natural model,A,A natural outgassing mechanism was proposed for acceleration without a bright coma.,A final reconstruction of the object.,Natural explanations preserve ambiguity.,None,https://www.nature.com/articles/s41586-022-05687-w
AST-07,3I/ATLAS,IAU information campaign on 3I/ATLAS,2026,Official astronomy statement,A,The third known interstellar object is observed as a comet and poses no Earth threat.,An alien spacecraft or hostile trajectory.,Natural distraction conceals a smaller artificial lurker.,Humans / Machines,https://iau.org/IAU/News/Ann2026/Comet-3IAtlas.aspx
SCI-01,Bracewell probe,"Ronald Bracewell, Communications from Superior Galactic Communities",1960,Peer-reviewed SETI thought experiment,A,A scientifically framed proposal for autonomous messenger probes waiting near a target civilization.,That one is present in the Solar System.,Long-lived observers and dead creators.,Machines,https://www.nature.com/articles/186670a0
SCI-02,Lurker probes,Near-Earth co-orbital artifact-search literature,2019 onward,Scientific search proposal,A,Researchers propose searching stable nearby regions for old probes.,Detection of any probe.,Machine sentinels and pirate caches.,Machines / Pirates,https://arxiv.org/abs/1903.05839
SCI-03,Von Neumann probes,Self-replicating interstellar-probe literature,20th century onward,Scientific and engineering speculation,A,Self-replicating probes are a longstanding exploration and Fermi-paradox concept.,That alien replication machines exist.,The Continuance spreads through foundries.,Machines,https://ntrs.nasa.gov/citations/19800014518
SCI-04,Silurian hypothesis,"Schmidt and Frank, The Silurian Hypothesis",2018,Peer-reviewed detectability thought experiment,A,A methodological study considers traces a remote industrial civilization might leave.,That a prehuman industrial civilization existed.,Deep-time ruins largely erased except for geochemistry and machines.,Machines / Humans,https://arxiv.org/abs/1804.03748
SCI-05,Cryptoterrestrials,The Cryptoterrestrial Hypothesis,2024,Speculative academic paper,A/D,A published taxonomy considers concealed-Earth explanations and labels them speculative.,Evidence of hidden terrestrial civilizations.,"Framework for ocean, cavern, future-human, and remnant-Machine classes.",Machines / Xenos / Humans,https://www.researchgate.net/publication/381041542_The_Cryptoterrestrial_Hypothesis_A_Case_for_Scientific_Openness_to_a_Concealed_Earthly_Explanation_for_Unidentified_Anomalous_Phenomena
SCI-06,Directed panspermia,"Crick and Orgel, Directed Panspermia",1973,Peer-reviewed speculative paper,A,A scientific discussion of deliberate seeding of life by an older civilization exists.,That Earth life was deliberately seeded.,Competing ownership and stewardship claims over biospheres.,Federation / Xenos / Machines,https://articles.adsabs.harvard.edu/pdf/1973Icar...19..341C
REL-01,Loosh,"Robert Monroe, Far Journeys",1985,Out-of-body / esoteric literature,D,The source lineage for Loosh and a living-system farm metaphor.,Scientific evidence that emotions feed entities.,Noetic commodity and Xeno energy crisis.,Xenos / Pirates,https://archive.org/details/far-journeys-robert-monroe
REL-02,Flyers,"Carlos Castaneda, The Active Side of Infinity",1998,Esoteric / literary teaching,D,The Mud Shadows narrative describes predators consuming awareness and imposing a foreign mind.,Evidence of a predator species.,Domesticated noetic grazers.,Xenos,https://archive.org/details/activesideofinfi00cast
REL-03,Archons,Nag Hammadi: Hypostasis of the Archons and Apocryphon of John,Late antique,Historical religious texts,C,"Ancient myths describe cosmic rulers, counterfeit authority, and spiritual confinement.",The modern fear-food model.,Obsolete administrators with root access.,Xenos / Machines,https://www.gnosis.org/naghamm/nhl.html
REL-04,Raelian creators,Raelian Movement and UFO-religion scholarship,1970s onward,Documented movement and academic study,C/D,A real modern religion interprets extraterrestrials as creators and prophets as messengers.,Extraterrestrial creation of terrestrial life.,Deliberate revelation as staged education.,Federation / Xenos,https://www.zygonjournal.org/article/id/14220/
REL-05,Alien administration,"William Bramley, The Gods of Eden",1989,Conspiracy / ancient-astronaut literature,D,"A traceable thesis argues nonhuman Custodians used war, institutions, and religion to manage humanity.",Accepted history.,Colonial administration through priesthoods and scarcity.,Xenos,https://books.google.com/books/about/The_Gods_of_Eden.html?id=8HnjpwAACAAJ
REL-06,Control system,"Jacques Vallee, Passport to Magonia and later work",1969 onward,UFO research and interpretive hypothesis,C/D,A documented hypothesis treats encounters as cultural feedback and belief manipulation.,A proven mechanism or single operator.,Phenomenon changes masks to fit culture.,All,https://archive.org/details/passporttomagoni0000vall
REL-07,Project Blue Beam,Serge Monast narrative,1994,Unsupported conspiracy claim,E,"A traceable rumor describes staged religion, synthetic voices, and a fake invasion.",An actual global project.,Human synthetic disclosure attracts real Ashtar Command.,Humans,https://en.wikipedia.org/wiki/Serge_Monast
DIS-01,Project Beta,Paul Bennewitz disinformation history,1979-1980s,Historical disinformation case,B/C,Human intelligence-linked actors fed or amplified false UFO narratives; the episode shaped Dulce lore.,That every preceding event was invented or Dulce existed.,Human counter-disinformation contaminates real contact.,Humans,https://www.theblackvault.com/documentarchive/project-beta/
DIS-02,Project Serpo,Anonymous Serpo emails and later discussion,2005 onward,Anonymous internet leak,E,A popular exchange-program narrative has a traceable publication history and major inconsistencies.,A real mission to Zeta Reticuli.,Forged composite of several real contacts.,Humans / Xenos,https://en.wikipedia.org/wiki/Project_Serpo
DIS-03,Ummo,Ummo letters and Jose Luis Jordan Pena confession,1960s-1990s,Correspondence hoax / contested folklore,E,A large alien-letter corpus existed and a central figure confessed.,That every letter had one author or Ummites exist.,Machine entity occupies a human-created identity.,Humans / Machines,https://en.wikipedia.org/wiki/Ummo
DIS-04,Black Knight,Black Knight satellite legend,1950s onward,Composite folklore,E,"The legend fuses unrelated radio, satellite, and NASA-image stories.","A 13,000-year alien satellite.",False legend hides less dramatic lurkers.,Machines,https://earthsky.org/space/black-knight-satellite/
DIS-05,Lacerta Files,Alleged 1999 reptilian interview,1999 onward,Anonymous internet text,E,A recognizable cryptoreptilian narrative circulates.,A verified interview or chain of custody.,Hoax carrier contains one real defector doctrine.,Xenos / Pirates,https://www.bibliotecapleyades.net/vida_alien/esp_vida_alien_52.htm
DIS-06,Men in Black,MIB folklore and contactee history,1947 onward,Folklore and witness tradition,C/D,"The motif evolved through human agents, dramatic retellings, and paranormal claims.",One verified species or agency behind all reports.,"Humans, Machine custodians, and thought-forms share the disguise.",Humans / Machines / Xenos,https://en.wikipedia.org/wiki/Men_in_black
OCE-01,Ocean residents,"Ivan T. Sanderson, Invisible Residents",1970,Speculative UFO book,D,A major source tradition argues for technologically advanced residents or operations associated with oceans.,An undersea civilization.,Precursor foundries and transmedium operations.,Machines,https://books.google.com/books/about/Invisible_Residents.html?id=XMfcsYqB-MoC
OCE-02,Shaver Mystery,Richard Shaver stories and publication history,1940s onward,Pulp fiction / claimed revelation,C/E,An early template describes surviving subterranean machinery and degenerated inheritors.,Historical evidence for Teros or Deros.,Client species living inside inherited infrastructure.,Machines / Xenos,https://encyclopediaofarkansas.net/entries/richard-sharpe-shaver-4462/
OCE-03,Mobile ocean factory,Anonymous 2023 ocean-factory narrative,2023,Anonymous internet folklore,E,A widely circulated story describes a mobile ocean construction unit producing mission-specific craft.,Verifiable testimony or physical evidence.,Deep Foundries print temporary craft as Machine organs.,Machines,https://oddwoo.com/4chan-ufo-leaker.php
RAB-01,Cydonia face,NASA Mars imagery,1976 onward,Planetary imaging,A,Higher-resolution images support a natural eroded mesa and pareidolia.,A carved face or ruined city.,Natural decoy landmark near subtler infrastructure.,Machines,https://science.nasa.gov/resource/unmasking-the-face-on-mars/
RAB-02,Phobos,NASA Phobos overview and historical artificial speculation,1950s onward,Science plus historical speculation,A/C,Better data undermined early hollow/artificial speculation.,That Phobos is artificial.,Natural moon retrofitted as relay.,Machines,https://science.nasa.gov/mars/moons/phobos/
RAB-03,Hollow Moon,Apollo seismic data and folklore,1969 onward,Official science plus folklore,A/E,"Long reverberation is consistent with dry, fractured lunar rock.",An artificial or hollow Moon.,Natural Moon with artificial caverns.,Machines / Humans,https://science.nasa.gov/moon/moonquakes/
RAB-04,Dogon / Sirius,Griaule-Dieterlen claims and later anthropological restudy,1930s-1990s,Anthropological dispute,C,Famous advanced-Sirius claims exist and later fieldwork disputed provenance and reproducibility.,Confirmed ancient alien contact.,Contaminated contact memory.,Federation / Xenos / Humans,https://www.jstor.org/stable/2801701
RAB-05,Eisenhower treaty,Gerald Light letter and later contactee tradition,1954 onward,Contactee rumor,E,A traceable legend claims a secret meeting during Eisenhower’s Palm Springs trip.,A corroborated treaty.,Multiple meetings merged into one story.,Humans / Federation / Xenos,https://www.eisenhowerlibrary.gov/research/online-documents/ufo-and-alien-files
RAB-06,Valiant Thor,"Frank Stranges, Stranger at the Pentagon",1967,Contactee literature,D,A named narrative describes a Venusian visitor advising the U.S. government.,That the visitor existed.,Federation diplomatic continuity identity.,Federation,https://archive.org/details/stranger-at-the-pentagon-frank-e.-stranges
RAB-07,Igigi labor,Atrahasis and ORACC Igigi corpus,Ancient,Ancient text and scholarship,C,"Myths describe divine labor, rebellion, and humans assuming work.",Extraterrestrial gold mines or genetic laboratories.,Colonial workforce replacement memory.,Xenos / Humans,https://oracc.museum.upenn.edu/amgg/listofdeities/igigi/index.html
RAB-08,Sitchin Nibiru and gold,"Zecharia Sitchin, Earth Chronicles",1976 onward,Ancient-astronaut literature,D,"Modern source lineage for Nibiru, atmospheric gold, Anunnaki dynasties, and engineered workers.",Accepted Assyriology or astronomy.,Anunnaki material empire and gold-noetic technology.,Xenos,https://sitchin.com/
ARC-12,Measurement lineage,Data Vetting and Accessibility for the Study of UAP,2026,Technical guidance,A,"Derived quantities require metadata, calibration, geometry, assumptions, and known data quality.",That software output or multiple sensors automatically imply exotic behavior.,Open Archive stores direct observations and reproducible derivations separately.,Humans / Machines,https://nps.edu/documents/110773463/165192597/Data%2BVetting%2Band%2Baccessibility%2Bfor%2Bthe%2BStudy%2Bof%2BUAP.pdf
ARC-13,Multi-sensor triangulation,Data Vetting and Accessibility for the Study of UAP,2026,Technical guidance,A,Separated sensors can estimate range and help reject near-field sensor confusers.,That triangulated targets are nonhuman.,Watcher Mesh custody and correlation mechanics.,Humans / Machines,https://nps.edu/documents/110773463/165192597/Data%2BVetting%2Band%2Baccessibility%2Bfor%2Bthe%2BStudy%2Bof%2BUAP.pdf
ARC-14,Event-based sensing,"Event-Based Sensing for UAP Detection, Tracking, and Characterization",2026,Technical research,A,"Known drones can be detected, tracked, and characterized through event-based signatures and WATCHER processing.",Alien detection or a universal classifier.,Provisional Unknown and persistent Watcher arrays.,Humans / Machines,https://nps.edu/documents/110773463/165192597/Event-Based%2BSensing%2Bfor%2BUnidentified%2BAnomalous%2BPhenomena%2BDetection%2BTracking%2Band%2BCharacterization.pdf
ARC-15,Native master integrity,Practical Photography Guide for UAP Events,2026,Technical guidance,A,"Original files, immediate SHA-256 hashes, UTC/location/equipment metadata, calibration, and labeled derivatives support chain of custody.",That intact imagery proves an extraordinary object.,Native Master and Fork Law.,All factions,https://nps.edu/documents/110773463/165192597/Capturing%2BUnidentified%2BAnomalous%2BPhenomena%2BEvents-%2BA%2BPractical%2BPhotography%2BGuide%2Bfor%2BEveryday%2BObservers.pdf
ARC-16,Classification source-subject split,AARO and the Declassification Process,2025,Official information paper,A,"Data can remain classified to protect platform, location, metadata, source, method, or sensor performance even when the object is ordinary.",That withheld imagery depicts exotic technology.,Classification fields become separate from object attribution.,All factions,https://www.aaro.mil/Portals/136/PDFs/Information%20Papers/AARO_Declassification_Info_Paper_2025.pdf
ARC-17,Refusal as evidence state,"2025 UAP Workshop: Narrative Data, Infrastructures, and Analysis",2026,Official workshop paper,A,"Reporting design can preserve provenance and distinguish refusal, missing data, narrative, and structured fields.",That better forms remove deception or memory limits.,Refusal Is Data and consent-aware reporting.,Humans / Federation,https://www.aaro.mil/Portals/136/PDFs/Information%20Papers/2025_UAP_Workshop_Paper.pdf
ARC-18,Institutional shadow map,NARA UFO/UAP Research by Record Group or Collection,2025-2026,Official archival index,A,"UFO/UAP-related holdings are distributed across legacy FAA, NASA, CIA, OSD, Air Force, Navy, public-diplomacy, broadcasting, records-administration, and media collections in addition to RG 615.","One unified program, common attribution, or endorsement of the reports preserved in those holdings.","Institutional Shadow Map keeps agency purpose, custody, vocabulary, and media function distinct.",Humans / Machines / Pirates,https://www.archives.gov/research/topics/uaps/rg-collections
ARC-19,Known-fake control images,NARA catalog records for physically and optically fabricated UFO photographs,Scientific-study holdings,Official catalog records,A,NARA explicitly catalogs fabricated and optically fabricated UFO photographs used or assessed in a scientific-study context.,That nearby images or unrelated cases are fabricated.,Known-Fake Control Set calibrates image forensics and provenance classifiers without prejudging unknown material.,All factions,https://catalog.archives.gov/id/481616458
MYT-01,Serpent infiltrator fiction,"Robert E. Howard, The Shadow Kingdom",1929,Primary fiction,C,"The literary serpent-men pattern of hidden rulers, disguises, underground survival, and political infiltration was published in Weird Tales in 1929.",Living political leaders or real populations are reptilian nonhumans.,Literary ancestor of the Serpent Court; morphology remains politically neutral.,Xenos / All,https://www.gutenberg.org/ebooks/70830
MYT-02,New World Order and UFO-conspiracy merger,"Michael Barkun, A Culture of Conspiracy",2003/2013,Academic history,C,"Modern mega-conspiracies merge religious apocalyptic, secular secret-society, UFO, underground-base, and scapegoating traditions.",A single cabal actually coordinates all world events.,Six Hidden Tables and the Cabal Compression Error.,All,https://academic.oup.com/california-scholarship-online/book/23108
MYT-03,Inside Job design corpus,Los Angeles Times interview with Shion Takeuchi,2021,Creator interview,C,The creator explicitly framed the series as satire and said she did not believe a real shadow government exists; bureaucracy and loss of agency were central concerns.,The show documents actual secret institutions.,"Secret systems have payroll, rivalry, maintenance, and human motives.",All,https://www.latimes.com/entertainment-arts/tv/story/2021-10-23/inside-job-netflix-shion-takeuchi-conspiracy-theories
MYT-04,Inside Job fictional conspiracy bundle,"Netflix, Inside Job",2021-2022,Fictional media corpus,C,"The series intentionally combines reptoids, fake Moon-landing infrastructure, secret societies, robot leaders, memory alteration, and reality editing in a workplace satire.",Any depicted conspiracy is factual.,"Structural reference for competing conspiracies, Project Reboot analogues, and institutional comedy.",All,https://www.netflix.com/title/80995819
MYT-05,Agenda 21,"United Nations, Agenda 21",1992,Official policy text,A,Agenda 21 is a publicly available nonbinding sustainable-development action plan adopted at the 1992 Earth Summit.,A covert extermination order or proof of one unified depopulation program.,"Public policy can be altered, selectively quoted, or fused into counterfeit Population Ledger orders.",Humans / Xenos,https://sdgs.un.org/publications/agenda21
MYT-06,Great Reset,"World Economic Forum, Great Reset announcement",2020,Public institutional initiative,A,The Great Reset was publicly promoted as a post-pandemic economic and social reform initiative.,A secret command to depopulate Earth or surrender government to aliens.,Elite-policy rhetoric becomes one input into the Cabal Compression Error.,Humans / Xenos,https://www.weforum.org/press/2020/06/the-great-reset-a-unique-twin-summit-to-begin-2021/
MYT-07,Documented coercive eugenics,"Encyclopedia Virginia, Carrie Buck",1924-1983,Historical reference,A,Virginia forcibly sterilized thousands under eugenic law; Carrie Buck was central to Buck v. Bell.,"That later sustainability, public-health, or demographic programs are one continuation of the same secret plan.",Carrie Protocol and the documented-abuse versus mythic-overextension rule.,Humans / Xenos,https://encyclopediavirginia.org/entries/buck-carrie-1906-1983/
MYT-08,Georgia Guidestones,"New Georgia Encyclopedia, Georgia Guidestones",1980-2022,Historical monument record,C,An anonymously commissioned monument included a population-under-500-million inscription and became a major conspiracy symbol.,An operational global depopulation organization.,A damaged colony mistakes an emergency ceiling for a permanent mandate.,All,https://www.georgiaencyclopedia.org/articles/history-archaeology/georgia-guidestones/
MYT-09,Covert weather modification,"FRUS, Operation Popeye memorandum",1967,Official diplomatic record,A,U.S. officials considered and conducted weather-modification operations to disrupt logistics in Southeast Asia.,"Global weather control, chemtrail population programs, or alien technology.",Credibility kernel for local atmospheric warfare and Contrail Ledger missions.,Humans / Machines,https://history.state.gov/historicaldocuments/frus1964-68v28/d274
MYT-10,Hurricane modification,"NOAA, Project STORMFURY history",1962-1983,Official scientific history,A,The United States attempted hurricane modification through cloud seeding; apparent successes were later weakened by improved storm science.,Reliable hurricane control or proof of secret ongoing global weather weapons.,Stormfury Ghost: natural variability mistaken for successful control.,Humans / Machines,https://www.aoml.noaa.gov/hrd/hrd_sub/sfury.html
MYT-11,HAARP,High-frequency Active Auroral Research Program,1990s-present,Official research facility,A,HAARP is an ionospheric research facility transferred to the University of Alaska Fairbanks in 2015.,"Mind control, earthquake generation, portals, or global weather control.",Ionospheric research can coexist with false narratives and later Lattice-handshake science.,Humans / Machines,https://haarp.gi.alaska.edu/
MYT-12,Contrails and chemtrail claims,"U.S. EPA, Contrails",Current,Official science guidance,A,Persistent contrails are ice-cloud phenomena formed from aircraft exhaust under suitable atmospheric conditions.,A covert population-control spraying program.,"Contrail Ledger separates normal aviation, declared geoengineering, covert release, and misinformation.",Humans / Machines,https://www.epa.gov/regulations-emissions-vehicles-and-engines/contrails
MYT-13,Behavioral modification programs,U.S. Senate MKULTRA hearing,1977,Official congressional record,A,The CIA conducted and funded unethical behavioral-modification research; the Senate held a joint hearing on the program.,"Every mind-control allegation, Project Monarch as one proven master program, or alien involvement.","Monarch Index: real abuse, reused codenames, therapy fraud, and Xeno conditioning remain separate chains.",Humans / Xenos,https://www.intelligence.senate.gov/1977/08/03/hearings-joint-hearing-subcommittee-health-and-scientific-research-committee-human-resources-project/
MYT-14,Gateway Process,"U.S. Army, Analysis and Assessment of Gateway Process",1983,Authentic government publication,B,A military-authored report analyzed an altered-state training system and related claims.,"That out-of-body travel, time travel, or manifestation was operationally validated.",Gateway Custody and noetic-training provenance.,Humans / Federation,https://www.govinfo.gov/app/details/GOVPUB-D101-PURL-gpo152943
MYT-15,Remote viewing and STARGATE,"CIA, Ask Molly: Did CIA Really Study Psychic Powers?",1972-1995,Official retrospective,A/B,U.S. intelligence organizations funded remote-viewing research; later evaluation found it too unreliable and inconsistent for intelligence use.,Reliable psychic surveillance or extraterrestrial communication.,"Noetic Reconnaissance yields impressions and probabilities, never omniscient targeting.",Humans / Federation,https://www.cia.gov/stories/story/ask-molly-did-cia-really-study-psychic-powers/
MYT-16,Philadelphia Experiment,Naval History and Heritage Command,1955 myth / 1943 allegation,Official historical review,A/E,The Navy traces the myth to Carlos Allende correspondence after Morris Jessup and reports no records supporting invisibility or teleportation; USS Eldridge movements contradict the legend.,A real 1943 teleportation experiment.,Degaussing Error: false teleportation story preserves an unrelated backflow datum.,Humans / Machines,https://www.history.navy.mil/research/library/online-reading-room/title-list-alphabetically/p/philadelphia-experiment.html
MYT-17,Future-human visitors,"Michael P. Masters, Identified Flying Objects",2019,Speculative book,D,A named author proposed that some humanoid UFO occupants could be future human descendants.,"Time travel, future-human visitation, or a general solution to UAP.",Extratempestrials become one polity among many; ancestor rights create conflict.,Humans / Pirates,https://books.apple.com/us/book/identified-flying-objects/id1456791606
