ID,Topic,Source,Year,Source Type,Tier,What It Establishes,What It Does Not Establish,2099 Canon Use,Faction,URL
MYT-17,Future-human visitors,"Michael P. Masters, Identified Flying Objects",2019,Speculative book,D,A named author proposed that some humanoid UFO occupants could be future human descendants.,"Time travel, future-human visitation, or a general solution to UAP.",Extratempestrials become one polity among many; ancestor rights create conflict.,Humans / Pirates,https://books.apple.com/us/book/identified-flying-objects/id1456791606
MYT-18,Simulation argument,"Nick Bostrom, Are You Living in a Computer Simulation?",2003,Philosophical paper,A/speculative,The paper presents a trilemma about posthuman ancestor simulations.,That humanity is definitely simulated or that anomalies are software bugs.,Ancestor Vaults and simulated-person citizenship.,Machines / Humans,https://simulation-argument.com/simulation.pdf
MYT-19,Zoo hypothesis,"Crawford and Schulze-Makuch, Nature Astronomy",2024,Scientific perspective,A/speculative,The paper reviews the possibility that technological civilizations are rare or deliberately hiding.,That a Galactic Federation currently enforces quarantine.,Multiple regional noncontact doctrines rather than one omnipotent club.,Federation / All,https://www.nature.com/articles/s41550-023-02134-2
MYT-20,Limits on galactic hegemony,"Duncan Forgan, Spatio-temporal constraints on the zoo hypothesis",2011,Astrobiology paper,A/speculative,Finite light speed and civilization timing make total galactic hegemony difficult and favor multiple local hegemonies.,That extraterrestrial cliques exist.,Supports several galactic blocs and inconsistent contact policies.,All,https://www.cambridge.org/core/journals/international-journal-of-astrobiology/article/abs/spatiotemporal-constraints-on-the-zoo-hypothesis-and-the-breakdown-of-total-hegemony/06D2915B2AABA203BE0701E644C6C1C9
MYT-21,Aetherius Society,Aetherius Society official history and teachings,1955-present,UFO-religion self-description,C/D,"A documented movement teaches Cosmic Masters, spiritual energy transmission, charged mountains, and power batteries.",Verified extraterrestrial masters or scientifically demonstrated spiritual batteries.,Coherence Reservoirs provide a consent-based counterpart to devotional extraction.,Federation / Xenos,https://www.aetherius.org/
MYT-22,Unarius,Unarius Academy of Science official description,1954-present,UFO-religion self-description,C/D,"A documented movement describes interdimensional science, past-life therapy, and extraterrestrial spiritual history.",Verified reincarnational history or alien science.,Continuity Clinics and contested memory provenance.,Federation / Machines,https://unarius.org/what-is-unarius/
MYT-23,Raelian creator narrative,International Raelian Movement,1970s-present,UFO-religion self-description,C/D,A documented religion teaches that advanced Elohim created terrestrial life and calls for an embassy.,Genetic creation of humanity or an actual diplomatic mandate.,Embassy Jurisdiction and the creator-rights dispute.,Humans / Federation / Xenos,https://www.rael.org/
MYT-24,UFO-religion scholarship,"James R. Lewis, Encyclopedic Sourcebook of UFO Religions",2003,Academic reference,C,"UFO beliefs have formed organized religious movements with ambassadors, channeling, prophecy, salvation, and cosmic government themes.",Authenticity of claimed extraterrestrial communications.,Contact protocols are historically plural and politically contested.,Federation / All,https://www.simonandschuster.com/books/Encyclopedic-Sourcebook-of-UFO-Religions/James-R-Lewis/9781573929646
MYT-25,Modern prison-planet synthesis,Remote Cosmologies of Control,2026,Cultural-analysis article,C/D,"The modern Archon-prison-planet narrative combines Gnosticism, Theosophy, occultism, New Age ideas, loosh, and digital communities.",A literal reincarnation trap or emotion farm.,Causal Return Grid and False-Light spoofing remain fictional adaptations.,Xenos / Machines,https://doi.org/10.47772/IJRISS.2025.91200232
MYT-26,Crop-circle art and hoax history,Washington Post report on Bower and Chorley,1991,Contemporary news report,C/E,Two artists demonstrated simple methods and claimed extensive responsibility for English crop circles; human crop art is documented.,That every formation has one maker or that no unexplained detail remains in any individual report.,Public-Key Landscapes and hoax-as-cover operations.,Humans / Pirates,https://www.washingtonpost.com/archive/politics/1991/09/11/artists-claim-they-made-mystery-crop-circles/a0a5503e-2a38-4223-80e1-5684c43561ac/
MYT-27,Cattle mutilation investigations,"FBI Vault, Animal Mutilation",1970s-1980s,Authentic government file,B,The FBI preserved correspondence and investigated a limited jurisdictional subset; veterinary and scavenger explanations appear in the record.,"A single alien, cult, or clandestine sampling program behind all reports.","Tissue Ledger supports mixed mundane, criminal, ecological, and strategic causes.",Humans / Xenos / Machines,https://vault.fbi.gov/Animal%20Mutilation
MYT-28,Hessdalen lights,Project Hessdalen,1983-present,Instrumented citizen-science project,B,A long-running project has documented recurrent light reports and operates a persistent multisensor station; the 1984 field study recorded 53 observations.,Extraterrestrial craft or one settled mechanism.,Luminous Ecology and anomaly-station custody.,Humans / Machines,https://www.hessdalen.org/
MYT-29,Brown Mountain lights,U.S. Geological Survey map and investigation record,1922,Official historical record,A/C,"USGS investigated reported lights; observed sources included trains, headlights, fires, and atmospheric conditions.",That every later report has the same cause or that a portal exists.,Cross-Layer Fault control case: famous anomaly zone can contain many ordinary sources.,Humans / Machines,https://www.usgs.gov/media/images/map-brown-mountain-and-occurrences-brown-mountain-lights
MYT-30,Bermuda Triangle,NOAA Ocean Service facts,20th-century legend,Official science guidance,A/C,NOAA describes no evidence that disappearances occur more frequently there than in other heavily traveled ocean regions.,"A portal, alien base, or anomalous statistical zone.",Route Shadow: the famous zone is ordinary while an actual route anomaly lies elsewhere.,Pirates / Machines,https://oceanservice.noaa.gov/facts/bermudatri.html
MYT-31,Men in Black folklore,History of Albert Bender and Gray Barker motif,1953-1956,Belief-history overview,C/E,"The modern MIB motif developed through Bender, Barker, Maury Island, and later folklore; some source material involved admitted or suspected hoaxing.",One real organization or ontology behind all MIB reports.,"Permission Agents may be human impersonators, Xeno noetic shells, Machine cleanup routines, or folklore imitation.",All,https://www.history.com/articles/men-in-black-real-origins
MYT-32,Operation Highjump,Naval History and Heritage Command,1946-1947,Official expedition history,A,"Operation Highjump was a large Antarctic expedition for cold-weather testing, training, mapping, and scientific information.",A battle with Nazi saucers or discovery of an inner-Earth entrance.,Polar Null Sites are later Machine infrastructure; real expedition history stays intact.,Humans / Machines,https://www.history.navy.mil/research/library/biographical-files/modern-biographical-files-ndl/modern-bios-v/vogeley-theodore-robert.html
MYT-33,Phobos baseline,"NASA Science, Mars Moons Facts",Current,Official planetary science,A,Phobos is a small irregular Martian moon whose orbit is decaying and whose origin remains studied.,That it is a hollow artificial satellite.,A natural moon can host later excavated or emplaced infrastructure without being wholly artificial.,Humans / Machines,https://science.nasa.gov/mars/moons/facts/
MYT-34,Apollo landing-site evidence,NASA LRO Apollo site imagery,2009-present,Official mission imagery,A,LRO images show Apollo hardware and astronaut tracks; lunar retroreflectors remain usable.,That every later lunar secrecy claim is true or that no records were withheld for unrelated reasons.,Apollo happened; Apollo Omission concerns a separate later relay and archive contamination.,Humans / Machines,https://science.nasa.gov/photojournal/lrocs-first-look-at-the-apollo-landing-sites/
MYT-35,CERN ritual prank and portal mythology,CERN/DW reporting on 2016 mock ritual,2016,Institutional incident report,A/E,A staged ritual video was filmed on CERN property without authorization and was investigated as a prank.,"A sacrifice, dimensional portal, or collider-caused timeline damage.",Collider Handshake: a hoax can cause later real anomalies to be dismissed as part of the joke.,Humans / Machines,https://www.dw.com/en/cern-looks-into-mock-human-sacrifice-video/a-19485174
MYT-36,Private elite forums,Bilderberg Meetings official description,1954-present,Institutional self-description,A,Bilderberg is an invitation-only informal forum under the Chatham House Rule; it states that there are no votes or formal policy statements.,A unified world government or extraterrestrial treaty authority.,Consensus Without Minutes: agenda setting and aligned expectations without formal command.,Humans / All,https://bilderbergmeetings.org/
MYT-37,Project Blue Beam,Serge Monast-associated conspiracy genealogy,1994,Traceable conspiracy claim,D/E,A named 1990s conspiracy tradition alleged staged religious and alien spectacles used to establish global control.,An actual government program with the claimed capabilities.,"Local Revelation Stagecraft through drones, AR, compromised media, and noetic spoofing.",Humans / Xenos,https://www.thecanadianencyclopedia.ca/en/article/project-blue-beam
MYT-38,Secret-space / Solar Warden mythology,Gary McKinnon interview,2005,Witness interpretation / news interview,D/E,McKinnon publicly said he saw terms such as non-terrestrial officers and fleet-to-fleet transfers while accessing U.S. systems.,An authenticated off-world fleet or twenty-and-back program.,Solar Warden begins as a sensor network; a later patrol service reuses the name.,Humans / Pirates,https://www.theguardian.com/theguardian/2005/jul/09/weekend7.weekend2
MYT-39,Demonological UFO interpretation,"Nick Redfern, Final Events / Collins Elite claim",2010,Traceable fringe book,D/E,A named book popularized an alleged government group interpreting UFOs as demonic; the claim remains unverified.,The group existed as described or the theological ontology is correct.,"Ontology Cells retain competing extraterrestrial, noetic, cryptoterrestrial, Machine, future-human, deception, and theological models.",Humans / Federation,https://www.simonandschuster.com/books/Final-Events/Nick-Redfern/9781933665481
MYT-40,Mothman and window areas,"John Keel, The Mothman Prophecies / Operation Trojan Horse",1966-1975,Folklore and interpretive literature,C/D,"Keel linked Point Pleasant reports, UFOs, strange communications, folklore, and the Silver Bridge disaster within an ultraterrestrial model.",That a winged entity predicted or caused the bridge collapse.,"Warning Forms and Cross-Layer Faults separate prediction, cause, appearance, and retrospective association.",All,https://archive.org/details/mothmanprophecie0000keel
MYT-41,Inside Job official corpus,Netflix official series page,2021-2022,Official media page,C,"Inside Job is a fictional workplace comedy created by Shion Takeuchi that deliberately bundles lizard people, a fake Moon landing, robot presidents, secret societies, memory manipulation, and reality alteration.",Any depicted conspiracy is factual or historically connected.,"Design corpus for institutions that are powerful but bureaucratic, error-prone, budget-constrained, and internally divided.",All,https://www.netflix.com/title/80995819
MYT-42,Inside Job creator framing,Shion Takeuchi interviews,2021,Creator interview,C,Takeuchi explicitly framed a hypothetical shadow government as chaotic human work rather than omniscient control and said she did not believe a real shadow government exists.,Evidence of Cognito Inc. or any hidden governing organization.,"The Cognito Principle: every secret institution needs a mandate, budget, staff, procurement, jurisdiction, succession, error rate, and rival offices.",All,https://www.latimes.com/entertainment-arts/tv/story/2021-10-23/inside-job-netflix-shion-takeuchi-conspiracy-theories
MYT-43,UFO and New World Order convergence,"Michael Barkun, UFOs Meet the New World Order",2003,Academic history,C,UFO conspiracism and New World Order ideas coalesced strongly in the 1990s; Jim Keith and David Icke exemplify different forms of this merger.,That a New World Order or reptilian ruling class exists.,Myth Mutation Graph and Cabal Compression Error.,All,https://academic.oup.com/california-scholarship-online/book/23108/chapter-abstract/183954770
MYT-44,Protocols forgery and scapegoating,United States Holocaust Memorial Museum,1903-present,Historical reference,A/C,The Protocols of the Elders of Zion is an antisemitic forgery repeatedly exposed as false and repeatedly adapted to blame Jews for complex events.,Any secret Jewish world conspiracy.,Explicit anti-scapegoat guardrail: no real ethnic or religious population becomes an alien bloodline or hidden ruling species.,All,https://encyclopedia.ushmm.org/content/en/article/protocols-of-the-elders-of-zion
MYT-45,Area 51 black aerospace baseline,CIA history of U-2 and A-12 OXCART at Groom Lake,1955-1968,Official institutional history,A,Area 51 was a secret test and training site for highly classified reconnaissance aircraft; CIA states U-2 and OXCART flights accounted for many UFO reports in the late 1950s and 1960s.,"Alien craft, recovered bodies, element 115 propulsion, or a treaty with extraterrestrials.","Credibility kernel for compartmented aerospace, worker secrecy, misidentification, and cover-story ecosystems.",Humans,https://www.cia.gov/stories/story/ask-molly-what-really-went-on-at-area-51/
MYT-46,Roswell archival baseline,National Archives Project Blue Book and Roswell reference report,1947-1995,Official archive guide,A/B,NARA preserves the official Roswell records trail and summarizes the Air Force conclusion that recovered material was consistent with a then-classified balloon project.,That every witness recollection is explained or that an extraterrestrial craft was recovered.,"Roswell Fork mission: authentic archive, classified program, later testimony, and retrieval mythology remain separate layers.",Humans / Xenos,https://www.archives.gov/research/military/air-force/ufos
MYT-47,Philadelphia Experiment genealogy,U.S. Navy Office of Naval Research information sheet,1955 myth / 1943 allegation,Official historical review,A/E,The myth entered the documentary record through Carlos Allende correspondence to Morris Jessup beginning in the 1950s; the Navy reports no supporting evidence for invisibility or teleportation.,A naval time-travel or teleportation experiment.,Temporal mythology begins with a contaminated story that can preserve one displaced electromagnetic datum without validating the legend.,Humans / Machines,https://www.history.navy.mil/research/library/online-reading-room/title-list-alphabetically/p/philadelphia-experiment/philadelphia-experiment-onr-info-sheet.html
MYT-48,Alternative 3,ITV Anglia retrospective,1977,Broadcast-history record,C/E,Alternative 3 was an elaborate television hoax/mockumentary about scientists secretly moved to Mars because Earth faced environmental catastrophe.,A real elite evacuation or secret Mars colony.,"Elite Exodus mythology, media-authentication mechanics, and the distinction between a fictional production and later sincere belief.",Humans / Pirates,https://www.itv.com/news/anglia/2017-06-20/forty-years-on-the-elaborate-television-hoax-that-shocked-the-world
MYT-49,Agenda 21 factual baseline,United Nations Agenda 21,1992,Official policy text,A,Agenda 21 is a public sustainable-development action plan adopted at the 1992 Earth Summit.,A covert extermination order or one global population-reduction command.,Population Policy Ladder distinguishes public planning from coercive restriction and extermination.,Humans / Xenos,https://sdgs.un.org/publications/agenda21
MYT-50,Great Reset factual baseline,World Economic Forum announcement,2020,Public institutional initiative,A,"The Great Reset was publicly introduced as a post-pandemic initiative for economic and social reform, sustainability, resilience, and a new social contract.","A secret depopulation order, alien compact, or universal ownership plan.",Policy language can become a contested Archive War source without the narrator endorsing its conspiratorial mutation.,Humans / Xenos,https://www.weforum.org/press/2020/06/the-great-reset-a-unique-twin-summit-to-begin-2021/
MYT-51,Geomagnetic reversal baseline,NASA magnetic-field review,current,Official science explanation,A,Geomagnetic reversals take hundreds to thousands of years and prior reversals are not associated with doomsday events or major extinctions.,"An imminent crustal displacement, scheduled depopulation event, or alien reset.","Pole Shift Countdown missions distinguish magnetic reversal, geographic pole motion, climate migration, and fictional Lattice failure.",Humans / Machines,https://science.nasa.gov/science-research/earth-science/flip-flop-why-variations-in-earths-magnetic-field-arent-causing-todays-climate-change/
MYT-52,Brazilian UFO archive,"Arquivo Nacional, Fundo OVNI",1950s-present holdings,Official archive,A/B,"Brazil's National Archive holds 743 Air Force-generated UFO records including reports, questionnaires, correspondence, photographs, drawings, videos, audio, and press material.",That the archived claims are extraterrestrial or mutually consistent.,Global Archive Asymmetry and Colares case lane.,Humans,https://www.gov.br/arquivonacional/pt-br/canais_atendimento/imprensa/noticias/conheca-o-fundo-sobre-ovnis-do-arquivo-nacional
MYT-53,Canadian UFO archive,"Library and Archives Canada, Canada's UFOs",1947-1980s,Official archive,A/B,"Canada preserves roughly 9,500 digitized government UFO documents from defense, transport, the National Research Council, and the RCMP, with incomplete metadata requiring varied search strategies.",A single Canadian government conclusion or alien explanation.,Translation Horizon and metadata incompleteness become research mechanics.,Humans,https://www.canada.ca/en/library-archives/collection/research-help/science-technology/ufos.html
MYT-54,Westall school sighting,ABC Australia 60th-anniversary investigation,1966 / 2026 retrospective,Contemporary journalism and witness history,C/B,Many students and staff reported unusual objects near Westall schools in 1966; surviving public evidence and witness memories remain incomplete and disputed.,A verified extraterrestrial landing or proof of an official cover-up.,"Schoolyard witness protocol, memory drift, missing records, and long-term stigma.",Humans / Federation,https://www.abc.net.au/news/2026-04-06/westall-ufo-mystery-witnesses-want-answers/106126614
MYT-55,Pascagoula witness-history control,Washington Post historical account,1973 / 2019 retrospective,Journalism and witness history,C/D,Charles Hickson and Calvin Parker reported a 1973 abduction to police; officers covertly recorded their private conversation after the report.,The physical reality or extraterrestrial origin of the reported encounter.,Hidden Recorder mission and witness-interview ethics.,Humans / Xenos,https://www.washingtonpost.com/history/2019/06/26/i-floated-inside-man-returns-site-ufo-abduction-it-gets-historical-marker/
MYT-56,Gobekli Tepe archaeology,UNESCO World Heritage Centre,9600-8200 BCE / current summary,Official archaeology,A,Hunter-gatherer communities erected monumental structures in the Pre-Pottery Neolithic.,A lost high-tech or extraterrestrial civilization built the site.,Human technological/social-complexity control case.,Humans,https://whc.unesco.org/en/list/1572
MYT-57,Younger Dryas impact controversy,Earth-Science Reviews: review supporting impact evidence / later comprehensive refutation,2021 / 2023,Peer-reviewed scientific controversy,A,Published scientific literature contains strongly opposed assessments of the Younger Dryas impact hypothesis.,"That an impact is established canon, or that any proposed impact was artificial.",Contested-science mission and anti-source-collapse case.,Humans / All,https://doi.org/10.1016/j.earscirev.2023.104502
MYT-58,Technology-shaped anomaly vocabulary,Smithsonian history by Greg Eghigian,1896-present / 2018 analysis,Historical scholarship / journalism,C,Reported sky anomalies repeatedly borrow the technological and military vocabulary of their era.,That every report is imagination or that all reports share one cause.,Translation Horizon and sensor/witness interpretation system.,Humans / All,https://www.smithsonianmag.com/history/how-ufo-reports-change-with-technology-times-180968011/
MYT-59,Book of the Watchers and forbidden knowledge,"Annette Yoshiko Reed, Cambridge scholarship",3rd-1st c. BCE traditions / 2005 study,Academic religious history,C,Enochic traditions link angelic descent with transmitted/illicit knowledge.,Extraterrestrials taught ancient technology.,Ancient forbidden-knowledge genealogy; Revelation Stack source layer.,Federation / Xenos,https://www.cambridge.org/core/books/abs/fallen-angels-and-the-history-of-judaism-and-christianity/angelic-descent-and-apocalyptic-epistemology-the-teachings-of-enoch_and_the_fallen_angels_in_the_book_of_the_watchers/1627AF4FF02634B391079F067A8AB80C
MYT-60,Utsuro-bune,Tanaka Kazuo / Nippon.com historical overview,1803 / 2020 overview,Documented folklore history,C,"Multiple Edo-period records preserve a hollow-vessel story with a foreign woman, unknown writing, and communication failure.",A literal spacecraft landed in 1803.,Premodern contact-form and Translation Horizon mission.,Humans / All,https://www.nippon.com/en/japan-topics/g00879/
MYT-61,Vaimanika Shastra critical history,Indian Institute of Science critical study,1974,Academic/engineering critique,A/C,The modern text can be critically studied as a modern-source claim and its aircraft concepts were judged aeronautically unworkable.,Ancient India operated the described aircraft.,Pseudo-ancient technical-text provenance mission.,Humans / Xenos,https://cgpl.iisc.ac.in/oldwebcontent/site/Portals/0/Publications/ReferedJournal/ACriticalStudyOfTheWorkVaimanikaShastra.pdf
MYT-62,Planet Nine versus Planet X stack,NASA Science / JPL,1915-2025 source history,Official astronomy,A,"Planet Nine remains hypothetical; historical Planet X, Nemesis, and Tyche are distinct astronomical hypotheses with observational constraints.",Nibiru doomsday claims or artificial outer-system planets.,Natural Planet Nine plus separate F Sol Anchor.,Humans / Machines,https://science.nasa.gov/solar-system/planet-x/
MYT-63,Project Horizon,National Air and Space Museum Archives,1959,Authentic government study archive,B,The Army Ballistic Missile Agency studied feasibility of a scientific/military lunar base.,A secret lunar base was built.,Proposal-Program-Operation Ladder; secret-space mutation source.,Humans,https://sirismm.si.edu/EADpdfs/NASM.2020.0031.pdf
MYT-64,Lunar research flights / Project A119 source layer,GovInfo Air Force report,1959,Authentic government publication,B,Air Force lunar research-flight studies existed.,That every later claim about a lunar nuclear operation occurred.,Cold War extreme-program source layer.,Humans,https://www.govinfo.gov/app/details/GOVPUB-D301-PURL-gpo32511
MYT-65,Project West Ford,NASA Orbital Debris Program Office,1961/1963 experiments / current summary,Official space-history record,A/B,The United States deployed copper-dipole communications experiments and some related debris remains cataloged.,"Alien rings, secret gates, or ancient satellites.",Orbital-debris versus artifact-identification mission.,Humans / Machines,https://orbitaldebris.jsc.nasa.gov/Quarterly-News/pdfs/ODQNv17i4.pdf
MYT-66,Operation Northwoods,National Security Archive / JCS memorandum,1962,Authentic declassified proposal,B,The JCS proposed manufactured pretexts for intervention in Cuba.,That the proposal was executed or involved aliens.,False-flag provenance: plan vs authorization vs operation.,Humans / Xenos,https://nsarchive.gwu.edu/CMC-60/joint-chiefs-pretexts-to-invade-Cuba-1962
MYT-67,Antikythera Mechanism,Nature,late 2nd c. BCE / 2006 reconstruction,Peer-reviewed archaeology/history of science,A,Ancient Greeks constructed a sophisticated geared astronomical calculator.,Lost alien technology.,Human technological-surprise control case.,Humans,https://www.nature.com/articles/nature05357
MYT-68,Aestivation hypothesis,"Sandberg, Armstrong, Cirkovic",2017,Scientific speculation,A/speculative,A published Fermi-paradox model explores advanced civilizations waiting for colder cosmic eras to maximize computation.,Dormant extraterrestrial civilizations actually exist.,Sleeper Continuance civilizations.,Machines,https://arxiv.org/abs/1705.03394
MYT-69,Arecibo Message,SETI Institute,1974,Documented scientific outreach,A,Humans deliberately transmitted a short binary message toward M13.,That any extraterrestrial received or answered it.,Invitation/consent dispute and spoofed reply scenarios.,Humans / Federation,https://www.seti.org/research/seti-101/project-phoenix/arecibo/
MYT-70,NASA UAP Independent Study,NASA,2023,Official scientific review,A/B,UAP data often lack calibration/metadata; rigorous reproducible data collection is needed.,Extraterrestrial origin or a cover-up.,Watcher Mesh and metadata-first anomaly science.,Humans,https://www.nasa.gov/wp-content/uploads/2023/09/uap-independent-study-team-final-report-0.pdf
MYT-71,2023 UAP congressional hearing,U.S. House transcript,2023,Authentic public hearing record,B,"Graves, Grusch, and Fravor gave public testimony and allegations to Congress.",That every allegation made in testimony is independently verified.,Disclosure Feedback Loop and testimony/proof distinction.,Humans / All,https://www.congress.gov/118/meeting/house/116282/documents/HHRG-118-GO06-Transcript-20230726.pdf
MYT-72,AARO Historical Record Report,AARO,2024,Official historical review,A/B,AARO reviewed U.S. UAP-program history and reported no verified evidence of hidden extraterrestrial reverse engineering.,That every unresolved historical case has a prosaic explanation.,Institutional-trust conflict and archive provenance.,Humans / All,https://www.aaro.mil/Portals/136/PDFs/AARO_Historical_Record_Report_Vol_1_2024.pdf
MYT-73,Brookings extraterrestrial-discovery impact study,Brookings Institution report prepared for NASA,1960,Official contractor report,A,NASA received a public study discussing social implications of discovering extraterrestrial life or artifacts and recommending further research on reactions.,A policy to conceal extraterrestrial discovery or proof that such artifacts had been found.,Artifact Impact Office and contact-shock planning.,Humans / Federation,https://ntrs.nasa.gov/citations/19640053196
MYT-74,Apollo lunar seismic ringing,NASA lunar seismology / Apollo experiment history,1969-1977,Official science record,A,Apollo seismic experiments found long-lived lunar reverberations and moonquakes; dry cold lunar material attenuates waves differently from Earth.,That the Moon is hollow or artificial.,Control case for the Hollow Moon mutation.,Humans / Machines,https://science.nasa.gov/moon/moonquakes/
MYT-75,Transient lunar phenomena,NASA technical literature,historical observations,Official scientific review,A/B,"Short-lived lunar brightenings, colors, flashes and obscurations have a historical observation literature of mixed quality.","A single cause, alien activity, or hidden lunar civilization.",Lunar Event Segmentation.,Humans / Machines,https://ntrs.nasa.gov/api/citations/19740026164/downloads/19740026164.pdf
