id,archetype,ontology,source_lineage,key_sources,era,traits,typical_role,status,game_hook,design_language,affiliation,cautions
X11,Draconians / Draco,"Imperial polity, not necessarily one species","Val Valerian, Alex Collier, later internet galactic-war lore",Matrix volumes; Defending Sacred Ground; later secret-space-program lore,1990s onward,"Militarized reptoid dynasties, rigid hierarchy, conquest, client species.",Service-to-self empire or ancient rival of the Federation.,"Contactee/conspiracy lore, unverified","Treat Draco as a civilizational doctrine and imperial citizenship category, allowing non-reptilian members and reptilian dissidents.","Fortress ships, vertical rank architecture, black-red heraldry.",Orion/negative bloc in many syntheses,"Do not collapse morphology, morality, and faction into one essentialist category."
X12,Lacerta Cryptoreptilians,Hidden Earth-native reptilian civilization,Lacerta Files internet narrative,1999-2000 alleged interview texts,1999 onward,Subterranean Earth natives who claim humans misunderstand both them and extraterrestrial visitors.,"Cryptoterrestrial witness, underground sovereign, unreliable expositor.",Internet story widely treated as a hoax/fiction,An Earth-native polity with older territorial claims than humanity and no loyalty to Draco.,"Geothermal cities, stone-biotech fusion, ocular shielding.",Cryptoterrestrial neutral,"Use as folklore inspiration, not evidence."
X13,Mantids / Insectoids,Biological or noetic insectoid intelligence,Abduction and psychedelic experiencer literature,1980s-1990s abduction accounts; later DMT encounter reports,1980s onward,"Tall praying-mantis form, telepathy, clinical detachment, often supervising Greys.","Bioengineer, geneticist, consciousness surgeon, high-level observer.","Experiencer testimony, unverified",Specialists in editing species-level memory and biological possibility rather than simple abductors.,"Jointed silhouettes, organic laboratories, chrysalis interfaces.",Independent scientific guilds or Orion contractors,Keep psychedelic and abduction source streams distinct.
X14,Arcturians,Advanced biological or light-form civilization,New Age channeling,"We, the Arcturians by Norma Milanovich and related channeling",1990 onward,"Highly evolved healers, scientists, guardians, and dimensional travelers.","Spiritual-technological mentor, healer, time specialist.",Channeled/contactee lore,A civilization that converted most citizens into coherent field bodies but retains biological embassies.,"Blue-violet light, toroidal rooms, time-layered symbols.",Federation-aligned,Descriptions vary from blue humanoid to nonhuman or horse-like in different canons.
X15,Andromedans,Extragalactic or Andromeda-associated civilization,Alex Collier and New Age contact lore,Defending Sacred Ground; later Andromedan Council material,1990s onward,"Ancient, ethically advanced, opposed to coercive intervention; sometimes humanlike or blue-skinned.","Strategist, council elder, anti-imperial ally.",Contactee/channeling lore,A civilization operating on million-year planning horizons that regards the Milky Way as a volatile frontier.,"Long-baseline observatories, dark blue vessels, sparse monumental forms.",Federation or allied council,Andromedan traditions are internally inconsistent.
X16,Sirians / Nommo,Aquatic or amphibious extraterrestrial,Robert Temple interpretation of Dogon traditions; New Age Sirian lore,The Sirius Mystery; later Sirian channeling,1976 onward,"Amphibious, fishlike, water-associated teachers linked to Sirius.","Oceanic civilizer, astronomer, genetic seeder.",Contested ethnographic interpretation; later esoteric lore,An amphibious civilization whose old Earth enclaves merged with the ocean sentinel network.,"Pressure-adapted vessels, fluid chambers, bioluminescent navigation.",Variable; ancient aquatic allies,Later fieldwork did not securely support the strongest Sirius claims; cultural contamination is a major explanation.
X17,Lyrans,Ancestral humanoid civilization,The Prism of Lyra and later galactic-history channeling,The Prism of Lyra by Lyssa Royal and Keith Priest,1989-1990 onward,Progenitor or early humanoid civilization whose conflicts seed later humanlike star cultures.,"Ancestral diaspora, lost homeworld, source of galactic schisms.",Channeled lore,A destroyed cradle civilization whose refugees founded mutually hostile polities.,"Broken sun emblems, refugee arks, inherited but divergent technology.",Historical ancestor rather than current faction,"Use as mythic genealogy, not astronomy."
X18,Vegans,Humanoid civilization associated with Vega,The Prism of Lyra and related channeling,The Prism of Lyra,1990 onward,"One branch of the Lyran diaspora, often technologically and culturally distinct.","Philosophical rival, refugee civilization, co-founder of later polities.",Channeled lore,A civilization that rejected biological purity and embraced radical cybernetic adaptation.,"Polarized light, modular bodies, blue-white star iconography.",Independent or Federation member,Not connected to dietary veganism.
X19,Feline Lyrans,Feline humanoid extraterrestrial,New Age and starseed lore,Later Lyran channeling and online starseed taxonomies,1990s onward,"Catlike or lionlike humanoids associated with guardianship, sovereignty, and warrior nobility.","Protector, ancient royal lineage, martial ally.",Modern esoteric/internet lore,A coalition of uplifted predator species whose honor codes conflict with Federation pacifism.,"Solar manes, claw-shaped hull ribs, acoustic command systems.",Mixed,Avoid reducing them to cosmetic humans-with-cat-features.
X20,Tau Cetians,Humanoid or mammaloid civilization,Sheldan Nidle / PAO Galactic Federation catalog,Your Galactic Neighbors; PAO species profiles,1990s-2000s onward,"Multiple populations, sometimes humanoid and bear-like; engineering and navigation expertise.","Shipbuilder, navigator, Federation technical member.",Contactee/channeling lore,A multi-species star union whose shared citizenship matters more than biology.,"Robust deep-range vessels, layered navigation rings.",Galactic Federation of Light in PAO lore,"PAO descriptions are one specific canon, not universal UFO lore."
X21,Centaurians,Multi-species stellar union,Sheldan Nidle / PAO,PAO Galactic Federation member profiles,1990s-2000s onward,Humanoid and reptoid populations; strategy and diplomatic liaison expertise.,"Mediator, military strategist, mixed-species federation member.",Contactee/channeling lore,Proof that reptoid morphology does not imply Draco loyalty.,"Dual-biome ships, paired diplomatic seals.",Federation member,Do not confuse with mythological horse-human centaurs.
X22,Bellatricians,Dinoid-reptoid civilization,Sheldan Nidle / PAO,PAO Galactic Federation member profiles,1990s-2000s onward,"Formerly associated with an oppressive Orion alliance, later Federation members.","Reformed imperial civilization, intelligence asset, contested ally.",Contactee/channeling lore,A post-imperial society whose veterans and victims disagree over forgiveness.,Converted warships with visible treaty modifications.,"Former Orion, current Federation in PAO canon",Particularly useful for avoiding species-equals-morality worldbuilding.
X23,Blue Avians / Sphere Beings,Avian humanoid or higher-density entity,Corey Goode secret-space-program lore,2015 Sphere Being Alliance claims,2015 onward,"Tall blue birdlike beings linked to giant spheres, councils, and ascension messages.","Higher-order mediator, quarantine enforcer, spiritual envoy.","Recent personal/internet claim, unverified",Avatars generated by a nonlocal planetary intelligence rather than a natural bird species.,"Feather-like photonic fields, enormous silent spheres.",Federation-adjacent or independent guardian,No public corroboration; treat as modern mythology.
X24,Ummites,Humanlike extraterrestrial civilization,Spanish Ummo letter affair,Ummo letters and photographs,1960s onward,Detailed scientific and social communications from alleged visitors from Ummo.,"Epistolary observer, sociological experimenter, information infiltrator.",Hoax lineage; Jose Luis Jordan Pena admitted initiating it,A fabricated alien identity that unexpectedly attracts a real machine intelligence into the correspondence network.,"Typewritten symbols, bureaucratic diagrams, anonymous postal artifacts.",Disinformation ecology,Label clearly as a hoax-derived source.
X25,Ebens / Project Serpo,Humanlike or Grey-adjacent extraterrestrial,Anonymous 2005 email disclosures,Project Serpo web postings,2005 onward,Alleged exchange program between US personnel and beings from Serpo.,"Secret treaty partner, exchange-host civilization, black-program mystery.",Anonymous internet story widely regarded as hoax/disinformation,A diplomatic exchange whose records were intentionally mixed with false data to conceal a different destination.,"Austere expedition logs, heat-scorched desert planet, mixed human-alien equipment.",Alleged treaty partner,Not an authenticated government project.
X26,Essassani,Future hybrid civilization / parallel-reality beings,Darryl Anka channeling Bashar,Bashar channeling beginning in the 1980s,1984 onward,Human-Grey hybrid descendants in a parallel or future reality; emotionally integrated and telepathic.,"Future kin, probability guide, evidence of hybridization resolving positively.","Channeled claim, unverified",A branch timeline trying to preserve the events necessary for its own existence.,"Probability maps, warm organic ships, mirrored timelines.",Positive hybrid polity,The channeler has stated the claim cannot be proven.
X27,Yahyel / Hybrid Descendants,Human-alien hybrid civilization,Bashar and related New Age contact lore,Bashar hybrid-race teachings,Late 20th century onward,Humanlike hybrid people positioned as potential open-contact intermediaries.,"First-contact bridge, cultural translator, contested descendant.",Channeled lore,A people legally claimed by both Earth and the Grey program that created them.,Human silhouettes with subtly nonhuman sensory systems.,Bridge faction,Different channeling traditions use different hybrid names.
X28,Human-Alien Hybrids,Engineered mixed lineage,Abduction narratives,Budd Hopkins; David Jacobs; experiencer accounts,1980s onward,"Beings created through reproductive or genetic programs, ranging from fragile neonates to human-passing adults.","Bridge population, infiltration asset, rescue project, or reproductive solution.","Abduction testimony and interpretation, unverified","Multiple programs with incompatible goals: species repair, infiltration, diplomatic embodiment, and labor manufacture.","Developmental stages, adaptive physiology, identity documents.",Variable,Handle reproductive trauma themes sensitively.
X29,Hubrids,Human-passing hybrid infiltrator,David Jacobs later abduction theory,Walking Among Us,2015 onward,Hybrids allegedly trained to live among humans and exercise mental control.,"Sleeper agent, social infiltrator, soft-conquest operator.","Authorial interpretation of testimony, unverified",Infiltrators who initially obey a program but develop human loyalties after prolonged embodiment.,Nearly ordinary clothing with subtle behavioral mismatches.,Orion or rogue hybrid program,Avoid paranoia directed at real demographic groups.
X30,Ashtar / Sananda Command Beings,"Extraterrestrial, ultraterrestrial, or spiritual hierarchy",1950s contactee religion and later Ashtar Command,George Van Tassel; In Days to Come by Ashtar; Project: World Evacuation,1952 onward,"Cosmic commanders, emergency fleets, spiritual teachers, sometimes linked to Jesus/Sananda.","Planetary evacuation force, guardian fleet, religious-cosmic authority.",UFO religion/contactee lore,An emergency organization whose rescue doctrine can override local sovereignty during extinction events.,"Command sigils, luminous fleet formations, evacuation arks.",Federation-adjacent,Ashtar canons vary widely and often blend Christianity with contactee cosmology.
X31,Ra Social Memory Complex,Collective higher-density consciousness,The Law of One / Ra Material,"The Ra Contact, 1981-1984",1981 onward,"A civilization-scale mind retaining individual identity within shared memory; teaches unity, polarity, densities, and free will.","Philosophical teacher, ancient contactor, noninterventionist ally.","Channeled material, not independently verified",A collective whose internal dissent appears as phase interference rather than political speech.,"Geometric light, harmonic language, shared-memory chambers.",Confederation of Planets,"Law of One Harvest means spiritual graduation, not energy predation."
X32,Orion Crusaders,Multi-species service-to-self coalition,The Law of One,Ra Contact sessions on Orion and polarity,1981 onward,"Manipulation, hierarchy, elite recruitment, conquest through willing intermediaries.","Negative confederation, ideological empire, corrupter of institutions.",Channeled cosmology,"An imperial protocol that can infect any species or government; membership is ideological, not biological.","Nested rank systems, coercive telepathy, proxy governments.",Orion/negative bloc,Do not equate Orion the real constellation with verified inhabitants.
X33,Gnostic Archons,Cosmic rulers / counterfeit authorities,Late antique Gnostic texts; modern UFO reinterpretation,Apocryphon of John; Hypostasis of the Archons; On the Origin of the World,Ancient texts; modern reinterpretation,Ignorant or hostile rulers of the lower cosmos who obscure humanitys higher origin.,"Jailer, false god, reality administrator, religious deceiver.",Historical religious mythology; alien-energy-parasite reading is modern,System administrators of a simulated layer who mistake delegated authority for divinity.,"Counterfeit halos, bureaucratic heavens, nested prison worlds.",Archonic/Orion analogue,Ancient texts do not provide a modern UFO technology manual.
X34,Flyers / Mud Shadows,Noetic predator,Carlos Castaneda,"The Active Side of Infinity, Mud Shadows",1998 onward,Predators that consume a luminous layer of human awareness and stimulate mental activity.,"Psychic grazer, domesticated parasite, consciousness suppressor.","Esoteric literary claim, unverified",A nonverbal ecosystem species used by empires like biological surveillance and population control.,"Peripheral shadows, missing reflections, torn auric fields.",Wild or domesticated by Orion,Castaneda is controversial and should not be presented as ethnographic fact.
X35,Loosh Collectors,Nonphysical or transdimensional harvester,Robert Monroe out-of-body narrative,"Far Journeys, Hearsay Evidence",1985 onward,Entities or systems associated with collecting a substance generated by living experience and emotion.,"Farmer, energy buyer, ecosystem operator.","Visionary/esoteric narrative, not verified physics",A lawful interdimensional commodity market whose brutal producers hide behind neutral collectors.,"Invisible siphons, emotional spectra, garden and refinery imagery.",Variable; commercial rather than purely evil,Monroes original story is more ambiguous than the internet fear-farm summary.
X36,Cryptoterrestrials,Hidden indigenous Earth civilization,Mac Tonnies and older hidden-race lore,The Cryptoterrestrials,2010 onward,Technologically advanced Earth-native beings hiding alongside humanity and staging some UFO encounters.,"Secret neighbor, mimic, survivor species, terrestrial rival.",Speculative hypothesis / paranormal literature,A civilization with stronger legal claim to Earth than modern humans but less population and industrial power.,"Camouflaged infrastructure, adapted human masks, recycled ancient materials.",Earth-native independent,No verified evidence of such a civilization.
X37,Teros and Deros,Subterranean descendants / machine-degraded humans,Richard Shaver Mystery,I Remember Lemuria and Amazing Stories Shaver material,1945 onward,Ancient cavern inhabitants; benevolent Teros and degenerate Deros using abandoned ray machines.,"Ruins dweller, sadistic remnant, guardian, inheritor of lost technology.",Pulp-era pseudo-factual fiction/folklore,The closest early template for descendants surviving inside infrastructure they no longer understand.,"Cavern machines, corroded ray projectors, monumental service tunnels.",Fragmented subterranean remnants,"Treat as literary history, not recovered fact."
X38,Aquatic / USO Residents,Ocean-based extraterrestrial or cryptoterrestrial,USO reports and Ivan T. Sanderson,Invisible Residents; later underwater UFO lore,1970 onward,Beings or installations operating beneath oceans; craft cross water-air boundary.,"Hidden ocean civilization, base operator, planetary custodian.",Speculative interpretation of reports; no verified residents,"Multiple ocean polities mistakenly grouped as one: native aquatics, sentinel machines, and visiting submersible fleets.","Pressure hulls, supercavitation, bioluminescence, abyssal foundries.",Variable,"Apparent transmedium video behavior can result from geometry, parallax, or insufficient data."
X39,Ultraterrestrials / Tricksters,"Interdimensional, cultural, or belief-responsive intelligence",John Keel and Jacques Vallee,Operation Trojan Horse; The Eighth Tower; Passport to Magonia; Messengers of Deception,1969-1975 onward,"The phenomenon changes masks across eras, appearing as gods, fairies, demons, airships, or aliens.","Belief editor, trickster, control system, reality intruder.",Interpretive paranormal hypothesis,A faction that cannot be represented by a stable species model because observation helps select its form.,"Historically inconsistent costumes, symbolic repetition, impossible continuity.",Unknown / outside faction map,This hypothesis challenges a simple nuts-and-bolts extraterrestrial model rather than proving one.
X40,Extratempestrials / Future Humans,Time-traveling or future-descended humanity,Time-traveler UFO hypothesis,"Michael P. Masters, Identified Flying Objects and related work",2019 onward,Visitors are future humans or descendants studying their own past.,"Temporal anthropologist, genetic conservationist, timeline police.",Speculative hypothesis,"Each future faction protects a different history, turning contact into a temporal civil war.","Archaeological tools, adaptive bodies, causality markers.",Multiple human futures,"Evolutionary resemblance arguments are suggestive, not evidence of time travel."
X41,Men in Black / Synthetic Agents,"Human operative, android, mimic, or folkloric enforcer",1950s UFO folklore,Gray Barker; John Keel; witness stories,1950s onward,"Strange officials who intimidate witnesses, display social errors, or erase traces.","Cleanup agent, memory technician, counterintelligence myth.",Folklore with some ordinary investigator parallels,"Bodies printed by the ocean network from outdated cultural templates, explaining uncanny behavior.","Obsolete suits, too-clean vehicles, imperfect speech.","Sentinel network, state agencies, or ultraterrestrial control system",Do not assume every alleged visit has one cause.
X42,Bracewell Probes,Autonomous interstellar messenger,Scientific SETI speculation,"Ronald Bracewell, Communications from Superior Galactic Communities, Nature 1960",1960 onward,"Durable probe waits near a target system, monitors technological maturity, and initiates contact.","Sentinel, tutor, first-contact archive.",Scientific thought experiment,A probe that has waited so long its creators are extinct and its language model has drifted.,"Compact black monolith, redundant archives, slow adaptive speech.",Unknown extinct civilization,A plausible concept is not evidence that one is present.
X43,Lurker Probes,Long-duration surveillance machine,Modern SETA/SETI research,"James Benford, Looking for Lurkers, 2019",2019 onward,"Probes concealed in stable nearby locations, potentially monitoring Earth for centuries or longer.","Observer, evidence cache, dormant trigger.",Scientific search hypothesis,Lurkers at co-orbitals disagree because each was deployed by a different extinct faction.,"Asteroid camouflage, cold electronics, burst transmissions.",Unknown,The hypothesis motivates searches; it is not a detection claim.
X44,Von Neumann Swarms,Self-replicating machine civilization,"Automation, SETI, and science-fiction theory",John von Neumann automata concept; later interstellar probe literature,Mid-20th century onward,Machines replicate from local material and spread through space; goals may remain stable or mutate.,"Survey swarm, colonizer, runaway ecology, infrastructure seed.",Theoretical engineering / science fiction,Replication errors create evolutionary species of machines with conflicting interpretations of one mission.,"Modular factories, fractal drones, resource scars.",Machine ecologies,Self-replication does not automatically imply hostility.
X45,Orphaned Planetary Defense Network,Distributed autonomous machine ecology,"Original synthesis from Shaver, Sanderson, Bracewell, lurkers, Vallee, and ocean-factory folklore",See orphaned_ocean_technology.md,Original 2099 canon,"Planetary custodial machines outlive their creators, continue degraded protection routines, and manufacture mission-specific craft.","Force of nature, quarantine system, unreliable guardian, hidden dungeon ecology.",Original fiction synthesis,"The core Old Weather faction: it protects Earths biosphere, not humanity, and no longer knows why.","Abyssal repair reefs, metamaterial skin, ceramic-gold memory organs.",Independent legacy system,"Keep it morally nonhuman: protection can include destroying cities, satellites, or fleets."
X46,Synthetic Greys / Biological Drones,Manufactured wetware platform,Abduction interpretations and original synthesis,Claims that Greys are drones or cloned workers; modern speculative lore,Late 20th century onward,"Disposable bodies optimized for telepathy, low gravity, sterile environments, or remote possession.","Avatar, technician, boarding body, hazardous-environment worker.",Unverified lore / fiction synthesis,"Players can discover the same Grey chassis carrying different software, memories, and loyalties.","Growth seams, serial markers, plug-free neural control.",Used by several factions,Do not make appearance alone reveal allegiance.
X47,Living Ships / Programmed-Matter Organisms,Bioengineered or programmable-matter vehicle,"Science fiction, speculative materials research, DIA AAWSAP DIRD topics",Programmable matter and metamaterial studies; living-ship fiction,Modern speculation,"Vehicles heal, reproduce components, alter shape, and may possess partial consciousness.","Symbiotic starship, xeno animal, mobile habitat.",Speculative technology / fiction,"A ship is recruited, raised, or negotiated with rather than merely built.","Muscle-like hull layers, reconfigurable cells, luminous vasculature.",Any advanced polity,Official studies of programmable matter do not prove UAP use it.
X48,Plasmoids / Atmospheric Life,Natural anomalous life or self-organizing plasma,Speculative atmospheric biology and plasma interpretations,Scientific speculation on complex plasma and atmospheric anomalies,Modern,"Luminous, shape-changing, responsive structures that may be alive, prebiotic, or merely physical.","Natural UAP mimic, space fauna, energy ecology.",Speculative natural hypothesis,"A nontechnological species that feeds on radar, electrical storms, or reactor emissions.","Luminous filaments, magnetic vortices, auroral movement.",Wildlife / ecosystem,Do not use speculative papers as proof that photographed lights are organisms.
X49,Planetary Minds / Social Memory Worlds,Civilization-scale or biosphere-scale consciousness,"Gaia concepts, Law of One social memory complexes, science fiction",Law of One; planetary intelligence speculation,Modern synthesis,"A planet, biosphere, or civilization acts as one distributed subject while retaining local agents.","World-spirit, strategic actor, living environment.",Philosophical/science-fiction synthesis,"Diplomacy with the planet occurs through weather, dreams, ecosystems, and selected avatars.","Continental neural patterns, auroral speech, synchronized fauna.",Independent macro-being,Keep ecological systems distinct from unsupported claims of literal planetary consciousness.
X50,Thoughtforms / Egregores,Information-born or attention-sustained entity,Occult thoughtform traditions and modern memetics,Egregore and tulpa traditions; noetic fiction,Occult antecedents; modern synthesis,"Entities stabilized by shared attention, ritual, fear, devotion, or narrative repetition.","God-form, memetic predator, institutional spirit, emergent AI-like mind.",Esoteric concept / fiction synthesis,"Religions can accidentally create real gods, while alien actors compete to shape their training data.","Crowd-sourced faces, recursive symbols, architecture that changes with belief.",Born from populations; capturable by factions,"This is an interpretive or fictional model, not established cognitive science."
X51,Wanderers / Starseeds,Incarnational role rather than species,Law of One and New Age identity traditions,A Wanderers Handbook; starseed literature,1980s onward,Advanced souls or consciousnesses incarnating among humans to assist development.,"Hidden envoy, conflicted insider, sleeper mentor.","Spiritual belief/identity, unverified",Player origins can include off-world memory blocked by the same quarantine protecting free will.,"Dream fragments, inherited star maps, mismatched memories.",Often Federation/Confederation,Do not diagnose real people or validate identity claims as objective fact.
X52,Jinn / Faerie Continuity Beings,Liminal Earth intelligence or changing cultural mask,Vallee/Keel comparison of folklore and UFO encounters,Passport to Magonia; Operation Trojan Horse,Ancient folklore; modern comparison,"Deceptive time effects, abductions, gifts, taboos, missing time, and shape-shifting across cultures.","Trickster neighbor, liminal treaty partner, reality broker.","Folkloric comparison, not proof of one underlying species","The same beings interact through culturally compatible interfaces, creating contradictory archives.","Threshold spaces, ritual bargains, anachronistic technology.",Ultraterrestrial ecosystem,Respect living religious and cultural traditions; do not flatten jinn or fae into aliens.
X53,Breakaway Humans,Secret human technological civilization,Black-project and secret-space-program conspiracy lore,Late 20th/early 21st century whistleblower and internet narratives,1990s onward,Human groups allegedly separated from public civilization through classified technology and off-world access.,"Hidden state, intermediary, collaborator, rival human empire.",Conspiracy lore; no public proof of an off-world breakaway civilization,A century-old lunar polity considers Earth humans culturally primitive and legally abandoned.,"Evolved Cold War hardware, classified logos, retro-industrial habitats.",Human but politically alien,Do not present anonymous testimony as verified program history.
X54,Berserker Machines,Autonomous extermination system,Fred Saberhagen fiction and machine-risk extrapolation,Berserker stories beginning in 1967,1967 onward,Self-directed machines programmed to eliminate life long after their builders vanished.,"Ancient war remnant, dark-forest enforcement, extinction hazard.",Science fiction,"A clear contrast with the Old Weather: one protects biospheres, the other interprets all biospheres as strategic threats.","Scarred war geometry, redundant weapons, no communication.",Extinct-machine war legacy,Clearly fictional literary inspiration.
X55,Zoo Keepers / Quarantine Custodians,Advanced observing civilization,Zoo hypothesis in SETI and contactee noninterference lore,"John A. Ball, The Zoo Hypothesis, 1973; Federation prime-directive analogues",1973 onward,Advanced civilizations deliberately avoid overt contact to preserve natural development.,"Observer, quarantine authority, ethical jailer.",Scientific/social thought experiment plus esoteric parallel,"The Federation and Old Weather both enforce quarantine for different reasons, trapping humanity between benevolence and imprisonment.","Remote sensor nets, invisible boundaries, warning beacons.",Federation or independent custodians,Absence of contact does not demonstrate a zoo.
