tier,collection,years,agency,format,size,zip_url,metadata_url,default_download,lore_value,caveat
large,Roswell moving-image source files,1946-1996,US archive,Moving images,16.25 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/moving-images/566658.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-566658.json,no,Period media and documentary assets,Large
large,Air Intelligence Reports,1948-1953,US Air Force,Textual scans,33.71 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/17618564.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-17618564.json,no,Early threat analysis and case language,Official archive; conclusions vary
large,4602D Air Intelligence case copies,1954-1956,US Air Force,Textual scans,29.77 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/23857122.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-23857122.json,no,Military investigative workflow,Large
large,Project Bluebook Artifacts,1952-1969,US Air Force,Artifact records,67.10 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/23857158.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-23857158.json,no,Physical-evidence bureaucracy and prop reference,Archive title does not imply exotic material
large,OSI UFO investigations,1948-1968,US Air Force Office of Special Investigations,Textual scans,34.45 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/23857159.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-23857159.json,no,Counterintelligence and investigation framing,Large
large,"USAF UFO sightings, California series",20th century,US Air Force,Textual scans,1.93 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/23857160.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-23857160.json,no,Regional sightings archive,"Official records, not verification"
large,Edward Condon collection,20th century,US archive,Textual scans,66.14 GB,https://catalog.archives.gov/medialz/bulk-downloads/uaps/zips/textual-and-microfilm/45484701.zip,https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-45484701.json,no,"Scientific review history, debate, methodology",Large
catalog-only,NSA UAP records (RG 615),Transferred through 2026,National Security Agency,NARA catalog series,not listed,,https://catalog.archives.gov/id/580103959,no,"Intelligence referrals, classification boundaries, interagency handling",Current RG 615 series; catalog presence and transfer do not validate extraordinary claims
catalog-only,Department of State UAP records (RG 615),Transferred through 2026,Department of State,NARA catalog series,not listed,,https://catalog.archives.gov/id/608806625,no,"Diplomatic correspondence, foreign reporting, treaty and liaison framing",Current RG 615 series; catalog-only entry may not yet have a bulk ZIP and does not imply extraterrestrial origin
catalog-only,FBI UAP records (RG 615),Transferred through 2026,Federal Bureau of Investigation,NARA catalog series,not listed,,https://catalog.archives.gov/id/580705010,no,"Domestic referrals, witness routing, jurisdiction and law-enforcement handling",Current RG 615 series; authentic records can preserve allegations without authenticating them
reference,AARO FY2025 Consolidated Annual Report,2024-2025,AARO,PDF report,14 pages,,https://www.aaro.mil/Portals/136/PDFs/FY25%20UAP%20Annual%20Report/AARO_FY2025_Consolidated_Annual_Report_on_UAP.pdf,no,"Active-archive states, report counts, sensor constraints, satellite-flare model, nuclear-site UAS distinction",Official conclusions describe the available data; active archive does not mean extraordinary
reference,2025 UAP Narrative Data Workshop,2025-2026,"AARO / Associated Universities, Inc.",PDF workshop paper,17 pages,,https://www.aaro.mil/Portals/136/PDFs/Information%20Papers/2025_UAP_Workshop_Paper.pdf,no,"Narrative infrastructure, provenance, optional metadata, human review, refusal states",Workshop recommendations do not validate all witness claims
reference,Data Vetting and Accessibility for the Study of UAP,2026,Naval Postgraduate School,PDF technical article,8 pages,,https://nps.edu/documents/110773463/165192597/Data%2BVetting%2Band%2Baccessibility%2Bfor%2Bthe%2BStudy%2Bof%2BUAP.pdf,no,"Direct-vs-derived measurement, metadata, triangulation, processed imagery caveats","Technical guidance, not evidence of extraterrestrial objects"
reference,Event-Based Sensing and WATCHER,2026,Naval Postgraduate School / Sandia,PDF technical article,11 pages,,https://nps.edu/documents/110773463/165192597/Event-Based%2BSensing%2Bfor%2BUnidentified%2BAnomalous%2BPhenomena%2BDetection%2BTracking%2Band%2BCharacterization.pdf,no,"Persistent low-bandwidth sensing, drone detection, tracking, signature characterization",Demonstrations use known UAS; no alien detection
reference,Practical Photography Guide for UAP Events,2026,Naval Postgraduate School,PDF technical guide,16 pages,,https://nps.edu/documents/110773463/165192597/Capturing%2BUnidentified%2BAnomalous%2BPhenomena%2BEvents-%2BA%2BPractical%2BPhotography%2BGuide%2Bfor%2BEveryday%2BObservers.pdf,no,"Native master, SHA-256, UTC metadata, calibration and derivative handling","File integrity proves preservation, not extraordinary interpretation"
reference,AARO and the Declassification Process,2025,AARO,PDF information paper,4 pages,,https://www.aaro.mil/Portals/136/PDFs/Information%20Papers/AARO_Declassification_Info_Paper_2025.pdf,no,Source-subject split and originating-agency declassification authority,Classification does not establish extraordinary subject matter
reference,AARO UAP Records and material-analysis index,2024-2026,AARO / ORNL,Web index and PDFs,rolling,,https://www.aaro.mil/UAP-Records/,no,KONA BLUE program status and laboratory analyses of claimed specimens,Program proposals and recovery stories do not outrank approval history or laboratory results
derivative,Black Vault UFO Files Release 1,2025-2026,Department of War via The Black Vault,Processed ZIP,2.04 GB,https://documents3.theblackvault.com/documents/UFOFiles/UFOFiles-Release1.zip,https://www.theblackvault.com/documentarchive/ufo-files-search-engine/,no,Searchable first release with parent-link requirement,Processed derivative; verify against official original
derivative,Black Vault UFO Files Release 2,2025-2026,Department of War via The Black Vault,Processed ZIP,5.17 GB,https://documents3.theblackvault.com/documents/UFOFiles/UFOFiles-Release2.zip,https://www.theblackvault.com/documentarchive/ufo-files-search-engine/,no,Searchable second release,Processed derivative; verify against official original
derivative,Black Vault UFO Files Release 3,2025-2026,Department of War via The Black Vault,Processed ZIP,5.44 GB,https://documents3.theblackvault.com/documents/UFOFiles/UFOFiles-Release3.zip,https://www.theblackvault.com/documentarchive/ufo-files-search-engine/,no,Searchable third release,Processed derivative; verify against official original
derivative,Black Vault UFO Files Release 4,2026,Department of War via The Black Vault,Processed ZIP,2.29 GB,https://documents3.theblackvault.com/documents/UFOFiles/UFOFiles-Release4.zip,https://www.theblackvault.com/documentarchive/ufo-files-search-engine/,no,Searchable fourth release,Processed derivative; verify against official original
derivative,Black Vault UFO Files Release 5,2026,Department of War via The Black Vault,Processed ZIP,745 MB,https://documents3.theblackvault.com/documents/UFOFiles/UFOFiles-Release5.zip,https://www.theblackvault.com/documentarchive/ufo-files-search-engine/,no,Searchable fifth release,Processed derivative; verify against official original
