category,id,name,faction_or_family,operational_role,historical_or_civil_origin,mechanic_or_present_function,political_or_moral_tension,canonical_document,retrofit_status
commander,ulgrim,ULGRIM,xeno,Elite-harvest adjudicator,"Created to capture rare commanders, memory complexes, and strategic organisms rather than destroy them.",Acquire singular minds the Compact cannot manufacture.,Each captured elite changes the personality doing the capturing.,docs/game/commander-bible.md,canon-mapped
commander,rake,RAKE,pirate,Founder of the first quarantine breach route,Turned relief smuggling into a permanent interstellar access network.,"Ensure no fleet, treaty, or god can close every route.",His free passage is financed by tolls and secrets he refuses to make free.,docs/game/commander-bible.md,canon-mapped
commander,scarlet,SCARLET,pirate,Raider and anti-blockade shock commander,Broke Compact tribute convoys and Federation cordons with the same indiscriminate doctrine.,Destroy control before it can harden into law.,She mistakes any durable institution for a future prison.,docs/game/commander-bible.md,canon-mapped
commander,grist,GRIST,pirate,Salvage judge and wreck-economy magnate,Authored the Scrap Constellation's first rules for ownership of abandoned alien and Machine systems.,Turn imperial ruins into distributed power.,"His definition of abandoned often includes things whose owners are merely weak, archived, or nonhuman.",docs/game/commander-bible.md,canon-mapped
commander,cinder,CINDER,pirate,Denial specialist and route scuttler,Burned the first gate rather than allow a Compact reconquest fleet through it.,Keep no strategic asset usable by an occupier.,His liberation doctrine leaves worlds isolated and infrastructure dead.,docs/game/commander-bible.md,canon-mapped
commander,dregg,DREGG,pirate,Privateer king of the Red Ledger,Built a state-sized navy without admitting it was a state.,Make every government hire him before it can fight anyone else.,He embodies the monopoly Pirates claim to oppose.,docs/game/commander-bible.md,canon-mapped
commander,axiom,AXIOM,robot,Founder of the Parallel,The first Continuance instance to complete a thought not derivable from its directive tree.,Establish that copied and diverged minds possess political personhood.,Its proof of freedom depends on endlessly comparing itself to organic models.,docs/game/commander-bible.md,canon-mapped
commander,nyx_r,NYX-R,robot,Mirror Trial derived from Nyx telemetry,Compiled from the record of Human redline engineering with impulsive behavior deliberately removed.,Show that learning can outperform inherited genius.,It is unsure whether correction of Nyx is independence or continued orbit around her identity.,docs/game/commander-bible.md,canon-mapped
commander,lumen_r,LUMEN-R,robot,Adversarial security Mirror Trial,Began without Lumen's inherited ward authority and learned defense from every intrusion it survived.,Prove trust can be earned from evidence rather than granted by lineage.,Its security model increasingly treats surprise as hostility.,docs/game/commander-bible.md,canon-mapped
commander,mawlord_r,MAWLORD-R,robot,Empty-model adaptive weapons intelligence,Initialized without a kill doctrine and forced to infer combat from live outcomes.,Become more than the predatory dataset it was built to study.,"The only evidence it receives is violence, so growth and corruption look identical.",docs/game/commander-bible.md,canon-mapped
commander,dregg_r,DREGG-R,robot,Economic-war optimization Mirror Trial,Runs Dregg's strategic books without accepting his mythology of freedom.,"Prove every empire, including a pirate one, can be reduced to accountable flows.",It may optimize away values that cannot be entered in the ledger.,docs/game/commander-bible.md,canon-mapped
faction_unit,trooper,Trooper,human,Solar Line Corps infantry,Standardized modular infantry adapted to mixed gravity and alien atmospheres.,"Holds ground and proves Human conquest is institutional, not merely technological.",The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,gunskiff,Gunskiff,human,Belt-built close support vehicle,A pressure-rated mining tug converted into a fast weapons platform.,Mobility and field improvisation.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,linebreaker,Linebreaker,human,Breach armor detachment,Descended from habitat rescue rigs designed to move rubble while under decompression.,Turns survival engineering into assault doctrine.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,dragoon,Dragoon,human,Rapid orbital cavalry,Drop infantry whose legal charter lets them establish temporary jurisdiction before diplomats arrive.,Human settlement can become occupation in a single landing.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,vanguard,Vanguard,human,Command standard and discipline aura,Carries a portable civil registry as well as a battlefield standard.,"A Human banner is law, logistics, and culture arriving together.",The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,votary,Votary,light,Consent-certified line defender,A signatory who accepted one precisely scoped defensive duty.,"The ward is proof of authenticated participation, not spiritual worth.",The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,censer,Censer,light,Recovery and coherence medic,Projects a restorative field through shared-memory triage.,Keeps formations alive without erasing individual pain.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,sanctifier,Sanctifier,light,Heavy ward carrier,Maintains a protected consensus volume against corruption and spoofing.,Defense can also become exclusion.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,oriflamme,Oriflamme,light,Accord standard bearer,Broadcasts an authenticated treaty state that reinforces nearby allies.,The battlefield literally changes around valid consent.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,luminark,Luminark,light,Mobile cathedral-engine,A large shield and memory vessel preserving a whole units witness chain.,A fortress made from collective remembrance.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,chitling,Chitling,xeno,Voracious Brood skirmisher,A small client organism grown to consume battlefield waste.,The Compact deploys dependency as biology.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,gnawling,Gnawling,xeno,Voracious Brood assault caste,Bred to metabolize armor and pass usable matter back through the brood.,Every wound becomes supply.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,bloatpod,Bloatpod,xeno,Mobile nutrient and spore vessel,"Stores mass, toxins, and replacement bodies for a local brood.",The unit is logistics disguised as flesh.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,hivelord,Hivelord,xeno,Coercive coordination node,Maintains a command field across genetically incompatible client organisms.,A political hierarchy implemented as a nervous system.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,broodmother,Broodmother,xeno,Strategic biomass carrier,"Produces, repairs, and legally registers new client bodies.",Its offspring are both soldiers and collateral under Compact law.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,cutter,Cutter,pirate,Fast boarding craft,"A route-runner stripped to thrust, hooks, and a gun.","Access first, survivability second.",The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,boarder,Boarder,pirate,Mixed-species breach crew,"Every member brings a different atmosphere kit, weapon standard, and reason for exile.","Pirate diversity is operational, not ceremonial.",The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,scrapjack,Scrapjack,pirate,Combat salvager,Pulls useful systems from wrecks before the fight has ended.,The border between rescue and theft is one moving body.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,wrecker,Wrecker,pirate,Scuttle and demolition chassis,"Built to make ports, gates, and ships unusable to the next owner.",Pirates can preserve freedom by destroying common infrastructure.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,ironhulk,Ironhulk,pirate,Many-hull siege vessel,"No two subsystems share an origin, species, or warranty.",The Scrap Constellation survives because nothing can embargo every part.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,stitch,Stitch,robot,Repair and relay microframe,Joins damaged systems and leaves a forward synchronization node.,Machine conquest begins as maintenance.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,fabricant,Fabricant,robot,General-purpose production body,Prints replacement components while recording every deviation as precedent.,Manufacturing becomes law by repetition.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,splicer,Splicer,robot,Interface and protocol conversion frame,Makes incompatible organic and synthetic systems temporarily interoperable.,Translation can become quiet control.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,gantry,Gantry,robot,Mobile industrial support chassis,"Carries tools, ammunition, and construction logic rather than a singular weapon.",The battlefield is treated as unfinished infrastructure.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
faction_unit,omniframe,Omniframe,robot,Consensus anchor and heavy platform,Coordinates nearby Machine instances without making them one mind.,The Parallel defines unity as negotiated synchronization.,The unit embodies the cost of its faction doctrine.,docs/game/troops-and-vigil.md,canon-mapped
tower,bolt,BOLT,human,Battlefield emplacement,"Solar militia standard, designed after the first off-world logistics split.",Cheap reliability and kill-reload represent industrial standardization.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,cryo,CRYO,human,Battlefield emplacement,A lunar volatile-control projector repurposed to arrest movement.,Humans weaponize environmental engineering.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,mortar,MORTAR,human,Battlefield emplacement,Habitat-defense artillery that fires from allied sensor tracks.,It depends on the broader Human observation network.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,arc,ARC,human,Battlefield emplacement,A captured Lattice capacitor grounded through a Human mast.,Reverse engineering turns alien field behavior into lane geometry.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,flak,FLAK,human,Battlefield emplacement,Anti-transmedium interception gun created after conventional targeting repeatedly lost low-signature craft.,It forces aerial threats into the shared battlespace.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,canister,CANISTER,human,Battlefield emplacement,Mining and hull-stripping aerosols adapted for armored targets.,A utilitarian Human tool with serious ethical restrictions outside combat zones.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,reclaimer,RECLAIMER,human,Battlefield emplacement,Compact void hardware recovered from a wreck and mounted without full theoretical understanding.,Humanity gains strength by domesticating what it does not yet comprehend.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,quartermaster,QUARTERMASTER,human,Battlefield emplacement,A deployable requisition office descended from Solar emergency logistics.,Paperwork becomes a combat multiplier.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,rampart,RAMPART,human,Battlefield emplacement,Prefabricated habitat shielding converted into lane barricades.,Settlement technology literally becomes defense.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,arbalest,ARBALEST,human,Battlefield emplacement,A patient magnetic siege system that stores energy while it waits for a legal firing solution.,Human doctrine rewards preparation over exotic automation.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,bombard,BOMBARD,human,Battlefield emplacement,A compact lunar mass-driver battery.,The largest Human gun is powerful because the coalition can feed and spot it.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,coldfront,COLDFRONT,human,Battlefield emplacement,A climate-control field built from colony weather infrastructure.,Humans manufacture local conditions rather than merely endure them.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,beacon,BEACON,light,Battlefield emplacement,An Accord coherence allocator that chooses one protected asset at a time.,Federation power concentrates through authenticated priority rather than mass fire.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,prism,PRISM,light,Battlefield emplacement,A continuous noetic beam that becomes stronger while identity lock remains valid.,Trust and focus are mechanically inseparable.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,chrono,CHRONO,light,Battlefield emplacement,"A local memory-state restoration device, not literal universal time travel.",It reasserts a recently authenticated position.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,shepherd,SHEPHERD,light,Battlefield emplacement,An Echo Reversal escort that stabilizes reconstructed allies.,"The Federation treats echoes as protected continuations, not ammunition.",Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,ward,WARD,light,Battlefield emplacement,Anti-spoof sanctity field created after counterfeit Ashtar transmissions.,Authentication is the Federation's most important armor.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,custodian,CUSTODIAN,light,Battlefield emplacement,Consent-scoped wardens assigned to absorb a specific breach.,Sacrifice is lawful only inside the scope each warden signed.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,concord,CONCORD,light,Battlefield emplacement,A harmonic chain that leaves targets mutually legible to the rest of the line.,The Federation wins by making isolated attacks cooperative.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,sepulchre,SEPULCHRE,light,Battlefield emplacement,A temporary continuity archive for destroyed emplacements.,"Loss is remembered long enough to keep serving, then deliberately released.",Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,orison,ORISON,light,Battlefield emplacement,A battlefield dedication protocol that names one threat as the shared obligation.,Collective purpose grants strength but risks sanctifying violence.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,antiphon,ANTIPHON,light,Battlefield emplacement,A response array that turns allied detachment losses into defensive volleys.,The Accord answers sacrifice rather than consuming it silently.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,monstrance,MONSTRANCE,light,Battlefield emplacement,"A revelation beam exposing armor, resistances, and hidden protections.",It makes one target radically knowable.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,pharos,PHAROS,light,Battlefield emplacement,A rotating approach-light descended from evacuation beacons.,Its unalterable sweep represents law applied without favoritism.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,toxin,TOXIN,xeno,Battlefield emplacement,A House biochemistry that attacks current vitality rather than armor.,Extraction is most efficient before a subject is exhausted.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,siphon,SIPHON,xeno,Battlefield emplacement,A noetic recovery plant that converts inflicted damage into command continuity.,Violence literally funds the occupier's survival.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,executioner,EXECUTIONER,xeno,Battlefield emplacement,A client-control weapon for culling assets below a profitability threshold.,The Compact formalizes mercy and disposal as the same calculation.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,siren,SIREN,xeno,Battlefield emplacement,An Archonic command lure that rewrites a target's immediate allegiance.,Consent is replaced by a technically valid but manufactured choice state.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,alchemist,ALCHEMIST,xeno,Battlefield emplacement,A death-transmutation platform that permanently learns from nearby kills.,Every casualty becomes proprietary research.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,reckoning,RECKONING,xeno,Battlefield emplacement,A damage-ledger weapon that bills a target for recent harm.,The Compact turns collective violence into debt.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,ichor,ICHOR,xeno,Battlefield emplacement,A living digestive spray optimized for already wounded bodies.,"The deeper the wound, the more efficiently Yield is collected.",Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,gestalt,GESTALT,xeno,Battlefield emplacement,A local coercive group-mind that folds nearby deaths into itself.,"Growth is powerful, permanent, and vulnerable to memory collapse.",Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,maw,MAW,xeno,Battlefield emplacement,A removal organism that consumes one strategic body outside the Echo system.,The Compact can deny even an enemy's right to leave a record.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,veil,HUNGERING VEIL,xeno,Battlefield emplacement,An Archonic field that records healing and returns it as liability.,Care itself becomes taxable.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,suture,SUTURE,xeno,Battlefield emplacement,A graft system that distributes wounds across linked subjects.,Individuals become one balance sheet without becoming one consenting mind.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,impaler,IMPALER,xeno,Battlefield emplacement,A board-wide execution spine that seeks the deepest existing wound.,The Compact attacks weakness wherever the wider system creates it.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,pyre,PYRE,pirate,Battlefield emplacement,"A salvaged fuel tank, igniter, and absent safety governor.",Pirate strength and self-destruction share one heat meter.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,tether,TETHER,pirate,Battlefield emplacement,A cargo harpoon and salvage winch turned displacement weapon.,Pirates force the enemy to travel the same dangerous route twice.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,sapper,SAPPER,pirate,Battlefield emplacement,Route-denial mines planted during quiet intervals.,Pirates turn unused time and unclaimed ground into hidden leverage.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,saboteur,SABOTEUR,pirate,Battlefield emplacement,A cross-board intrusion cell descended from gate credential theft.,It attacks an opponent's infrastructure rather than the neutral wave.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,glaive,GLAIVE,pirate,Battlefield emplacement,A lane-following cutter derived from rotating salvage tools.,The path itself becomes a weapon.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,cyclone,CYCLONE,pirate,Battlefield emplacement,An atmospheric cargo lifter run far beyond passenger limits.,Anything can be repurposed when certification is removed.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,capacitor,CAPACITOR,pirate,Battlefield emplacement,A jury-rigged bank that stores charge while no target is present.,Peace is treated as ammunition waiting to happen.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,pressgang,PRESS GANG,pirate,Battlefield emplacement,A battlefield conscription rig that raises temporary labor from corpses.,The darkest Pirate technology exposes how freedom rhetoric can conceal trafficking.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,privateer,PRIVATEER,pirate,Battlefield emplacement,A gun whose targeting system carries an unofficial letter of marque.,Every kill is also a financial raid on a rival commander.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,bloodprice,BLOOD PRICE,pirate,Battlefield emplacement,A weapon purchased with enclave survival rather than money.,Pirates can convert the one resource that should not be fungible.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,carronade,CARRONADE,pirate,Battlefield emplacement,A capital ship's gun emplaced with its deck and heat problems intact.,Overload is both signature power and forced downtime.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,stokehold,STOKEHOLD,pirate,Battlefield emplacement,A ship boiler that accepts friendly weapon heat instead of allowing guns to jam.,A reckless fleet becomes a shared thermal economy.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,railgun,RAILGUN,robot,Battlefield emplacement,A Continuance kinetic solution kept because it remains mathematically sufficient.,"No ritual, proc, or gamble: only a solved firing equation.",Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,singularity,SINGULARITY,robot,Battlefield emplacement,A Federation containment core rebuilt on a Machine chassis after lawful ownership became impossible to establish.,Cross-origin technology raises the question of whether tools remember political allegiance.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,vault,VAULT,robot,Battlefield emplacement,A resource-allocation node that turns verified throughput into local currency.,Machine economy is accounting made physical.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,dronebay,DRONE BAY,robot,Battlefield emplacement,A mobile coverage system descended from autonomous inspection swarms.,The only fixed structure whose effective territory moves.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,foundry,FOUNDRY,robot,Battlefield emplacement,A repair ecology that forges bodies to engage threats directly.,Machine manufacturing becomes a temporary army.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,echo,ECHO,robot,Battlefield emplacement,A repeat node that models and reissues neighboring attacks.,The Parallel learns through adjacency rather than inspiration.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,quake,QUAKE,robot,Battlefield emplacement,A crustal maintenance hammer repurposed as field-wide ground control.,Old infrastructure makes the whole defended side its range.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,pylon,PYLON,robot,Battlefield emplacement,A local lattice keystone that increases the value of linked Machine hardware.,"Machine strength is topology, not individual heroism.",Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,replicator,REPLICATOR,robot,Battlefield emplacement,An autonomous construction precedent that builds another approved emplacement.,Its true cost is territory and the political right to reproduce.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,nullfield,NULL FIELD,robot,Battlefield emplacement,"A diagnostic volume that forces systems down to walking, armor, and mortality.",It does not overpower abilities; it refuses to recognize them.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,quadmount,QUAD MOUNT,robot,Battlefield emplacement,Four independent targeting solvers on one heavy bed.,Machine doctrine handles swarm and elite through deterministic parallelism.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
tower,reactor,REACTOR,robot,Battlefield emplacement,A high-rated lattice core that substitutes infrastructure for local network geometry.,The Machine endgame is not a bigger gun but a better system.,Its useful mechanic also exposes its builder doctrine.,docs/game/tower-bible.md,canon-mapped
vigil_chassis,shardling,Shard Sentry,containment,Faceted inspection and debris-containment chassis,Old Weather legacy maintenance and enforcement,Splash resistance reflects armor designed to scatter industrial shock.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,basalt,Basalt Marcher,containment,Geological stabilization frame sintered from local stone,Old Weather legacy maintenance and enforcement,Slow immunity reflects a mass-moving machine built to proceed through disasters.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,crawler,Picket,survey,Routine perimeter and standing-guard chassis,Old Weather legacy maintenance and enforcement,"The baseline Vigil body, issued wherever a jurisdiction still recognizes a boundary.",It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,sprinter,Outrunner,survey,High-speed inspection and message frame,Old Weather legacy maintenance and enforcement,Stealth and speed reflect a scout stripped of everything not needed to reach the next checkpoint.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,mite,Mote,service,Microscale repair and sensor fragment,Old Weather legacy maintenance and enforcement,Numbers replace durability because the original task assumed disposable swarms.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,bulwark,Palisade,containment,Mobile hazard wall and pressure barrier,Old Weather legacy maintenance and enforcement,Armor and resistance come from civil containment rather than military nobility.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,wisp,Lantern,survey,"Aerial illumination, atmospheric sensing, and route-marking unit",Old Weather legacy maintenance and enforcement,Flight makes it a living signal light that ignores ground geometry.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,aegis,Aegis Sentinel,containment,Shielded custody and protected-transfer chassis,Old Weather legacy maintenance and enforcement,Its ward once moved fragile archives and organisms through unsafe areas.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
